sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Toluene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"204,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"230";"<2";"boiling point";"204,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"230";"<2";"boiling point";"204";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"204,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"230";"<2";"boiling point";"204,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"204,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"230";"<2";"boiling point";"204,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Brass (>15Zn)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cast Iron, Gray/ Ductile";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper/ Bronze/ Low Brass";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper-Nickel";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (12Cr)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cr Stainless Steel (17Cr)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Duplex Stainless Steel (25-6-3)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"230";"<2";"boiling point";"204";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Gold/ Platinum";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Lead";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel (200)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel Cast Iron (15-35Ni)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel-Copper (400)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Ni-Cr-Fe Alloy (600/ 690)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Ni-Mo Alloy (Ni-30Mo; B-2)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Silicon Cast Iron (14Si)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"52 – 237";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Silver";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Steels, Carbon/ Low Alloy";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Superferritic Stainless Steel (26-1)";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Tantalum";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Titanium, Unalloyed";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"204,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Titanium, Unalloyed";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"230";"<2";"boiling point";"204,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Zirconium";"toluene";"methylbenzene";"108-88-3";"C7H8";"aromatics";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
