sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium carbonate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"<95";"0 – 212";"<2";"9,160,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"<95";"0 – 212";"<2";"9,160,217";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"<95";"0 – 212";"<2";"9,160,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"<95";"0 – 212";"<2";"9,160,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"5 – 55";"25 – 225";"<20";"9,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"55 – 75";"175 – 225";"<20";"9,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"<95";"0 – 212";"<2";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"<95";"0 – 212";"<2";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Brass (>15Zn)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"severe corrosion with oxygen ingress";"5 – 45";"25 – 75";">50";"9,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cast Iron, Gray/ Ductile";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"5 – 15";"25 – 75";"<20";"9,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper/ Bronze/ Low Brass";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"severe corrosion with oxygen ingress";"5 – 45";"25 – 75";">50";"9,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper-Nickel";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"severe corrosion with oxygen ingress";"";"0";"<2";"9,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (12Cr)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"<95";"0 – 212";"<2";"9,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (17Cr)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"<95";"0 – 212";"<2";"9,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Duplex Stainless Steel (25-6-3)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"<95";"0 – 212";"<2";"9,160,217";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Gold/ Platinum";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"5 – 55";"25 – 225";"<2";"9,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Gold/ Platinum";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"55 – 75";"175 – 225";"<2";"9,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Lead";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"5 – 55";"25 – 225";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"5 – 25";"25 – 225";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"25 – 35";"25 – 175";"<2";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"25 – 35";"175 – 225";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"35 – 45";"175 – 225";"<2";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"35 – 55";"25 – 175";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"45 – 55";"175 – 225";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"5 – 25";"25 – 225";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"25 – 35";"25 – 175";"<2";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"25 – 35";"175 – 225";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"35 – 45";"175 – 225";"<2";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"35 – 55";"25 – 175";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"45 – 55";"175 – 225";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ammonium carbonate";"506-87-6";"CH8N2O3";"salts";"";"5 – 25";"25 – 225";"<20";"9,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
