sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methyl acetoacetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"methyl acetoacetate";"105-45-3";"C5H8O3";"esters";"";"100";"52 – 147";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"methyl acetoacetate";"105-45-3";"C5H8O3";"esters";"";"100";"52 – 147";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methyl acetoacetate";"105-45-3";"C5H8O3";"esters";"";"100";"52 – 147";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"methyl acetoacetate";"105-45-3";"C5H8O3";"esters";"";"100";"52 – 147";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cast Iron, Gray/ Ductile";"methyl acetoacetate";"105-45-3";"C5H8O3";"esters";"";"100";"52 – 102";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Copper/ Bronze/ Low Brass";"methyl acetoacetate";"105-45-3";"C5H8O3";"esters";"";"100";"52 – 327";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"methyl acetoacetate";"105-45-3";"C5H8O3";"esters";"";"100";"52 – 147";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"methyl acetoacetate";"105-45-3";"C5H8O3";"esters";"";"100";"52 – 147";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"methyl acetoacetate";"105-45-3";"C5H8O3";"esters";"";"100";"52 – 147";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"methyl acetoacetate";"105-45-3";"C5H8O3";"esters";"";"100";"52 – 147";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"methyl acetoacetate";"105-45-3";"C5H8O3";"esters";"";"100";"52 – 147";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Nickel Cast Iron (15-35Ni)";"methyl acetoacetate";"105-45-3";"C5H8O3";"esters";"";"100";"52 – 102";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Nickel-Copper (400)";"methyl acetoacetate";"105-45-3";"C5H8O3";"esters";"";"100";"52 – 147";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Ni-Cr-Fe Alloy (600/ 690)";"methyl acetoacetate";"105-45-3";"C5H8O3";"esters";"";"100";"52 – 147";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Silicon Cast Iron (14Si)";"methyl acetoacetate";"105-45-3";"C5H8O3";"esters";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Steels, Carbon/ Low Alloy";"methyl acetoacetate";"105-45-3";"C5H8O3";"esters";"discolors";"100";"52 – 102";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
