sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrocyanic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";""
"19";"Polymethyl Methacrylate (PMMA)";"";"hydrocyanic acid";"hydrogen cyanide";"";"74-90-8";"CHN";"inorganic acids";"1";"recommended";">10";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Polymethyl Methacrylate (PMMA)";"";"hydrocyanic acid";"hydrogen cyanide";"";"74-90-8";"CHN";"inorganic acids";"1";"recommended";"100";"60 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Polypropylene (PP)";"";"hydrocyanic acid";"hydrogen cyanide";"";"74-90-8";"CHN";"inorganic acids";"1";"recommended";"100";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyvinyl Chloride (PVC)";"";"hydrocyanic acid";"hydrogen cyanide";"";"74-90-8";"CHN";"inorganic acids";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Polyvinyl Chloride (PVC)";"";"hydrocyanic acid";"hydrogen cyanide";"";"74-90-8";"CHN";"inorganic acids";"1";"recommended";">90";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyvinylidene Fluoride (PVDF)";"";"hydrocyanic acid";"hydrogen cyanide";"";"74-90-8";"CHN";"inorganic acids";"1";"recommended";"100";"70 – 275";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"25";"Rubber, Butyl (BR)";"";"hydrocyanic acid";"hydrogen cyanide";"";"74-90-8";"CHN";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Vinyl Ester Resins";"";"hydrocyanic acid";"hydrogen cyanide";"";"74-90-8";"CHN";"inorganic acids";"1";"recommended";">10";"70 – 210";"";"7";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
