sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phosphoric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"phosphoric acid";"orthophosphoric acid";"";"7664-38-2";"H3O4P";"inorganic acids";"3";"not recommended";"10 – 20";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"phosphoric acid";"orthophosphoric acid";"";"7664-38-2";"H3O4P";"inorganic acids";"3";"not recommended";"40";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"phosphoric acid";"orthophosphoric acid";"";"7664-38-2";"H3O4P";"inorganic acids";"3";"not recommended";"80 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"phosphoric acid";"orthophosphoric acid";"";"7664-38-2";"H3O4P";"inorganic acids";"1";"recommended";"10 – 20";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"phosphoric acid";"orthophosphoric acid";"";"7664-38-2";"H3O4P";"inorganic acids";"2";"questionable";"30 – 40";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"phosphoric acid";"orthophosphoric acid";"";"7664-38-2";"H3O4P";"inorganic acids";"1";"recommended";"30 – 70";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"7";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"phosphoric acid";"orthophosphoric acid";"";"7664-38-2";"H3O4P";"inorganic acids";"3";"not recommended";"50 – 90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"8";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"phosphoric acid";"orthophosphoric acid";"";"7664-38-2";"H3O4P";"inorganic acids";"3";"not recommended";"80";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"9";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"phosphoric acid";"orthophosphoric acid";"";"7664-38-2";"H3O4P";"inorganic acids";"3";"not recommended";"80 – 90";"195 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"10";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"phosphoric acid";"orthophosphoric acid";"";"7664-38-2";"H3O4P";"inorganic acids";"3";"not recommended";"90";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";""
"11";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"phosphoric acid";"orthophosphoric acid";"";"7664-38-2";"H3O4P";"inorganic acids";"3";"not recommended; weight gain ";"90";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
