sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Cyanogen chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"cyanogen chloride";"chlorine cyanide";"506-77-4";"CClN";"gases";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"cyanogen chloride";"chlorine cyanide";"506-77-4";"CClN";"gases";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"cyanogen chloride";"chlorine cyanide";"506-77-4";"CClN";"gases";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"cyanogen chloride";"chlorine cyanide";"506-77-4";"CClN";"gases";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"cyanogen chloride";"chlorine cyanide";"506-77-4";"CClN";"gases";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"cyanogen chloride";"chlorine cyanide";"506-77-4";"CClN";"gases";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"cyanogen chloride";"chlorine cyanide";"506-77-4";"CClN";"gases";"severe corrosion with oxygen ingress";"";"0";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"cyanogen chloride";"chlorine cyanide";"506-77-4";"CClN";"gases";"severe corrosion with oxygen ingress";"";"0";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper-Nickel";"cyanogen chloride";"chlorine cyanide";"506-77-4";"CClN";"gases";"severe corrosion with oxygen ingress";"";"0";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Gold/ Platinum";"cyanogen chloride";"chlorine cyanide";"506-77-4";"CClN";"gases";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Nickel (200)";"cyanogen chloride";"chlorine cyanide";"506-77-4";"CClN";"gases";"severe corrosion with oxygen ingress";"";"0";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Nickel-Copper (400)";"cyanogen chloride";"chlorine cyanide";"506-77-4";"CClN";"gases";"severe corrosion with oxygen ingress";"";"0";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Silver";"cyanogen chloride";"chlorine cyanide";"506-77-4";"CClN";"gases";"";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Steels, Carbon/ Low Alloy";"cyanogen chloride";"chlorine cyanide";"506-77-4";"CClN";"gases";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Tantalum";"cyanogen chloride";"chlorine cyanide";"506-77-4";"CClN";"gases";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
