sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrogen sulfide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"1";"recommended";"10 – 90";"70 – 150";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hydrogen sulfide";"wet, saturated";"7783-06-04";"H2S";"gases";"1";"recommended; recommended 21-66°C (70-150°F)";"100";"70 – 100";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"3";"not recommended";"100";"100 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Carbon-Graphite Composites";"";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Cellulose Acetate";"";"hydrogen sulfide";"saturated";"7783-06-04";"H2S";"gases";"3";"not recommended; ";"10";"60 – 70";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Cellulose Acetate";"";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Cellulose Acetate Butyrate";"";"hydrogen sulfide";"saturated";"7783-06-04";"H2S";"gases";"3";"not recommended";"90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Cellulose Acetate Butyrate";"";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"1";"recommended; weight gain";">90";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Cellulose Acetate Butyrate";"";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"3";"not recommended";"100";"60 – 70";"";"no water, wet";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"1";"recommended";"any";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"13";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"1";"recommended";"any";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"14";"Chlorinated Polyvinyl Chloride (CPVC)";"";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"1";"recommended";"100";"70 – 150";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"15";"Chlorosulfonated Polyethylene";"";"hydrogen sulfide";"saturated";"7783-06-04";"H2S";"gases";"1";"recommended";"10";"100 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Chlorosulfonated Polyethylene";"";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"1";"recommended";"100";"70 – 150";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Concrete";"";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"1";"recommended; over 3 years";">10";"75 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Epoxy Resin, Glass Fiber- Reinforced";"";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"1";"recommended";"100";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
