sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Benzaldehyde";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"0 – 375";"<2";"163,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"0 – 212";"<2";"163";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"0 – 375";"<2";"163,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"0 – 375";"<2";"163,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"25 – 375";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"25 – 375";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"25 – 375";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper-Nickel";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (12Cr)";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (17Cr)";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Duplex Stainless Steel (25-6-3)";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"0 – 212";"<2";"163";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Gold/ Platinum";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Lead";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel (200)";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"100";"75 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
