sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Butyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"26";"Polyesters, Glass Fiber-Reinforced";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"1";"recommended";"100";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Polyethylene (PE)";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"1";"recommended";"100";"70 – 125";"";"";"1, 13";"";"";"";"";"";"";"";"";"";"";""
"28";"Polyethylene (PE)";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"3";"not recommended";"100";"125 – 150";"";"";"1, 13";"";"";"";"";"";"";"";"";"";"";""
"29";"Polypropylene (PP)";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyvinyl Chloride (PVC)";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyvinylidene Fluoride (PVDF)";"Kynar";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"1";"recommended";"100";"70 – 200";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"32";"Polyvinylidene Fluoride (PVDF)";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"2";"questionable";"100";"200 – 250";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"33";"Polyvinylidene Fluoride (PVDF)";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"3";"not recommended";"100";"250 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"34";"Rubber, Butyl (BR)";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"35";"Rubber, Natural (NR)";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"36";"Styrene Acrylonitrile Copolymer (SAN)";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"2";"questionable; tert recommended 21-52°C (70-126°F)";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"37";"Styrene Acrylonitrile Copolymer (SAN)";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"3";"not recommended";"100";"80 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Vinyl Ester Resins";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"1";"recommended";"100";"70 – 120";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"39";"Wood";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"1";"recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
