sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Magnesium chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"magnesium chloride";"magnogene";"7786-30-3";"Cl2Mg";"salts";"stress cracks";"5 – 45";"52 – 237";"<2";"";"68,115,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"magnesium chloride";"magnogene";"7786-30-3";"Cl2Mg";"salts";"";"45 – 50";"97 – 237";"<20";"";"68,115,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"magnesium chloride";"magnogene";"7786-30-3";"Cl2Mg";"salts";"stress cracks";"5 – 45";"52 – 237";"<2";"";"68,115,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"magnesium chloride";"magnogene";"7786-30-3";"Cl2Mg";"salts";"";"45 – 50";"97 – 237";"<20";"";"68,115,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"magnesium chloride";"magnogene";"7786-30-3";"Cl2Mg";"salts";"";"5 – 15";"52 – 102";"<20";"";"68,115,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"magnesium chloride";"magnogene";"7786-30-3";"Cl2Mg";"salts";"";"15 – 25";"52 – 102";"<2";"";"68,115,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"magnesium chloride";"magnogene";"7786-30-3";"Cl2Mg";"salts";"";"25 – 45";"52 – 102";"<20";"";"68,115,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"magnesium chloride";"magnogene";"7786-30-3";"Cl2Mg";"salts";"pitting; stress cracks";"5 – 15";"52 – 237";"20 – 50";"";"68,115,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"magnesium chloride";"magnogene";"7786-30-3";"Cl2Mg";"salts";"";"15 – 35";"52 – 237";"<20";"";"68,115,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"magnesium chloride";"magnogene";"7786-30-3";"Cl2Mg";"salts";"";"45 – 50";"142 – 192";"20 – 50";"";"68,115,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"magnesium chloride";"magnogene";"7786-30-3";"Cl2Mg";"salts";"";"45 – 50";"277 – 327";"20 – 50";"";"68,115,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"magnesium chloride";"magnogene";"7786-30-3";"Cl2Mg";"salts";"stress cracks";"5 – 45";"52 – 237";"<20";"";"68,115,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"magnesium chloride";"magnogene";"7786-30-3";"Cl2Mg";"salts";"";"45 – 50";"322 – 372";"<20";"";"68,115,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Brass (>15Zn)";"magnesium chloride";"magnogene";"7786-30-3";"Cl2Mg";"salts";"stress cracks";"5 – 15";"52 – 147";"<20";"no air, oxygen";"68,115,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Brass (>15Zn)";"magnesium chloride";"magnogene";"7786-30-3";"Cl2Mg";"salts";"";"5 – 25";"97 – 147";"<20";"";"68,115,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Brass (>15Zn)";"magnesium chloride";"magnogene";"7786-30-3";"Cl2Mg";"salts";"";"25 – 35";"52 – 100";"<20";"";"68,115,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Brass (>15Zn)";"magnesium chloride";"magnogene";"7786-30-3";"Cl2Mg";"salts";"";"25 – 35";"100 – 147";"20 – 50";"";"68,115,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
