sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Epichlorohydrin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"5";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"5";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"5";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"hazardous!";"";"100";"25 – 75";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"pitting, stress corrosion cracking";"5";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"stress corrosion cracking";"5";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Brass (>15Zn)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 75";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Brass (>15Zn)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"175 – 225";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cast Iron, Gray/ Ductile";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 75";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper/ Bronze/ Low Brass";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"pitting";"5";"175 – 225";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper/ Bronze/ Low Brass";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 75";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Copper/ Bronze/ Low Brass";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"175 – 225";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cr Stainless Steel (12Cr)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"5";"25 – 75";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cr Stainless Steel (12Cr)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 75";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Cr Stainless Steel (17Cr)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 75";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Gold/ Platinum";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 75";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 75";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 75";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 75";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 75";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel (200)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"5";"25 – 75";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel (200)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel Cast Iron (15-35Ni)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 75";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Nickel-Copper (400)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"5";"25 – 75";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Nickel-Copper (400)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Ni-Cr-Fe Alloy (600/ 690)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 75";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Ni-Mo Alloy (Ni-30Mo; B-2)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 75";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Silicon Cast Iron (14Si)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"52 – 237";"<2";"210,218";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Steels, Carbon/ Low Alloy";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"pitting";"5";"175 – 225";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Steels, Carbon/ Low Alloy";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Superferritic Stainless Steel (26-1)";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 75";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Tantalum";"epichlorohydrin";"(chloromethyl)oxirane";"13403-37-7 [106-89-8]";"C3H5ClO";"ethers";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
