sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Nickel nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"nickel nitrate";"";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"nickel nitrate";"";"salts";"1";"recommended";"<25";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"nickel nitrate";"";"salts";"1";"recommended";"100";"250";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"nickel nitrate";"";"salts";"1";"recommended";"<25";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"nickel nitrate";"";"salts";"1";"recommended";"100";"250";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"nickel nitrate";"";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"nickel nitrate";"";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"nickel nitrate";"";"salts";"1";"recommended; over 3 years";">10";"75 – 212";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Glass Fiber- Reinforced";"";"nickel nitrate";"";"salts";"1";"recommended";"20";"70 – 225";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"nickel nitrate";"";"salts";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"nickel nitrate";"";"salts";"1";"recommended";">10";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyesters, Glass Fiber-Reinforced";"";"nickel nitrate";"";"salts";"1";"recommended";"10 – 20";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyesters, Glass Fiber-Reinforced";"";"nickel nitrate";"";"salts";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyethylene (PE)";"";"nickel nitrate";"";"salts";"1";"recommended";">90";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polymethyl Methacrylate (PMMA)";"";"nickel nitrate";"";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polypropylene (PP)";"";"nickel nitrate";"saturated";"salts";"1";"recommended";">10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polypropylene (PP)";"";"nickel nitrate";"";"salts";"1";"recommended";"100";"60 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyvinyl Chloride (PVC)";"";"nickel nitrate";"";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyvinylidene Fluoride (PVDF)";"";"nickel nitrate";"";"salts";"1";"recommended";"100";"70 – 275";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Vinyl Ester Resins";"";"nickel nitrate";"";"salts";"1";"recommended";"100";"70 – 210";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
