sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Boric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"boric acid";"";"inorganic acids";"2";"questionable";">10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"boric acid";"";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Carbon-Graphite Composites";"";"boric acid";"";"inorganic acids";"1";"recommended";"10";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate Butyrate";"";"boric acid";"";"inorganic acids";"2";"questionable; weight gain, ";"<5";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"boric acid";"saturated";"inorganic acids";"1";"recommended";"100";"175";"<6";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"boric acid";"";"inorganic acids";"1";"recommended";"100";"70 – 212";"";"1, 12";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"boric acid";"";"inorganic acids";"1";"recommended";">10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Cements";"";"boric acid";"";"inorganic acids";"1";"recommended";"5";"68";"<6";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Cements";"";"boric acid";"";"inorganic acids";"1";"recommended";"5";"140";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"boric acid";"";"inorganic acids";"1";"recommended; >3 years";">10";"75 – 212";">12";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Glass Fiber- Reinforced";"";"boric acid";"saturated";"inorganic acids";"1";"recommended";"4";"70 – 225";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Glass Fiber- Reinforced";"";"boric acid";"";"inorganic acids";"1";"recommended";"100";"70 – 200";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"boric acid";"";"inorganic acids";"1";"recommended";"any";"250 – 400";"<6";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"boric acid";"";"inorganic acids";"1";"recommended";"10 – 90";"70 – 212";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Fluororubber";"";"boric acid";"saturated";"inorganic acids";"1";"recommended";"10 – 90";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"boric acid";"";"inorganic acids";"1";"recommended";"100";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"boric acid";"saturated";"inorganic acids";"1";"recommended; >12 months";"40";"70 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"boric acid";"";"inorganic acids";"1";"recommended";"100";"70 – 200";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Glass, Chemical";"";"boric acid";"saturated";"inorganic acids";"1";"recommended";"30";"70 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nylon";"";"boric acid";"";"inorganic acids";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Phenolic Resins, Asbestos-Reinforced";"";"boric acid";"";"inorganic acids";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Phenolic Resins, Asbestos-Reinforced";"";"boric acid";"";"inorganic acids";"1";"recommended";"100";"70 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polychloroprene";"";"boric acid";"saturated";"inorganic acids";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyesters, Glass Fiber-Reinforced";"";"boric acid";"";"inorganic acids";"1";"recommended";"5";"50 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Polyethylene (PE)";"";"boric acid";"dilute";"inorganic acids";"1";"recommended";"10";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Polyethylene (PE)";"";"boric acid";"";"inorganic acids";"1";"recommended";"30";"70 – 90";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Polyethylene (PE)";"";"boric acid";"concentrated";"inorganic acids";"1";"recommended";"30";"90 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Polymethyl Methacrylate (PMMA)";"";"boric acid";"";"inorganic acids";"1";"recommended";"10 – 30";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Polymethyl Methacrylate (PMMA)";"";"boric acid";"";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
