sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aluminum chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"aluminum chloride";"aluminum trichloride";"7446-70-0";"AlCl3";"salts";"";"5";"0 – 212";"<2";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"aluminum chloride";"aluminum trichloride";"7446-70-0";"AlCl3";"salts";"";"10";"0 – 212";">50";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"aluminum chloride";"aluminum trichloride";"7446-70-0";"AlCl3";"salts";"pitting; stress corrosion cracking";"10 – 35";"75 – 125";">50";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-4Mo (904L)";"aluminum chloride";"aluminum trichloride";"7446-70-0";"AlCl3";"salts";"";"10 – 35";"175 – 225";">50";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-4Mo (904L)";"aluminum chloride";"aluminum trichloride";"7446-70-0";"AlCl3";"salts";"";"15 – 25";"25 – 75";">50";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-25-4Mo (904L)";"aluminum chloride";"aluminum trichloride";"7446-70-0";"AlCl3";"salts";"";"20 – 30";"212 – 230";">50";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-25-6Mo (254SMO/ 6XN)";"aluminum chloride";"aluminum trichloride";"7446-70-0";"AlCl3";"salts";"";"5";"0 – 212";"<2";"5,152,158,210";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 20-25-6Mo (254SMO/ 6XN)";"aluminum chloride";"aluminum trichloride";"7446-70-0";"AlCl3";"salts";"";"10";"0 – 212";"20 – 50";"5,152,158,210";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 20-25-6Mo (254SMO/ 6XN)";"aluminum chloride";"aluminum trichloride";"7446-70-0";"AlCl3";"salts";"";"20 – 30";"212 – 230";">50";"5,152,158,210";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"aluminum chloride";"aluminum trichloride";"7446-70-0";"AlCl3";"salts";"";"5";"0 – 212";"<2";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"aluminum chloride";"aluminum trichloride";"7446-70-0";"AlCl3";"salts";"pitting; stress corrosion cracking";"10";"0 – 212";"<2";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"aluminum chloride";"aluminum trichloride";"7446-70-0";"AlCl3";"salts";"";"20 – 30";"212 – 230";">50";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"aluminum chloride";"aluminum trichloride";"7446-70-0";"AlCl3";"salts";"";"100";"125 – 175";"<20";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Alloy 30-44-5-3W (G-30)";"aluminum chloride";"aluminum trichloride";"7446-70-0";"AlCl3";"salts";"";"5";"0 – 212";"<2";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Alloy 30-44-5-3W (G-30)";"aluminum chloride";"aluminum trichloride";"7446-70-0";"AlCl3";"salts";"pitting; stress corrosion cracking";"10";"0 – 212";"<2";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Alloy 30-44-5-3W (G-30)";"aluminum chloride";"aluminum trichloride";"7446-70-0";"AlCl3";"salts";"";"20 – 30";"212 – 230";">50";"5,152,158,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
