sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium sulfite";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"27";"Phenolic Resins, Asbestos-Reinforced";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Phenolic Resins, Asbestos-Reinforced";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"100";"70 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Polychloroprene";"";"sodium sulfite";"saturated";"7757-83-7";"Na2O3S";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Polychloroprene";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"2";"questionable";">10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyesters, Glass Fiber-Reinforced";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"10 – 20";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Polyesters, Glass Fiber-Reinforced";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"30 – 60";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"33";"Polyesters, Glass Fiber-Reinforced";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"34";"Polyethylene (PE)";"";"sodium sulfite";"saturated";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"10";"60 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"35";"Polyethylene (PE)";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"10 – 30";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"36";"Polyethylene (PE)";"";"sodium sulfite";"saturated";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"30";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"37";"Polymethyl Methacrylate (PMMA)";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"10 – 20";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Polymethyl Methacrylate (PMMA)";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"39";"Polypropylene (PP)";"";"sodium sulfite";"saturated";"7757-83-7";"Na2O3S";"salts";"1";"recommended";">10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"40";"Polypropylene (PP)";"";"sodium sulfite";"";"7757-83-7";"Na2O3S";"salts";"1";"recommended";"100";"60 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
