sep=;
"25";"Niobium (Columbium)";"ethylene glycol";"1,2-ethanediol";"";"107-21-1";"C2H6O2";"alcohols";"";"any";"0 – 212";"<2";"46,125,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Niobium (Columbium)";"ferric chloride";"iron chloride";"";"7705-08-0";"Cl3Fe";"salts";"";"<50";"0 – 212";"<2";"47,116,210,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Niobium (Columbium)";"ferric sulfate";"iron sulfate";"";"10028-22-5";"Fe2O12S3";"salts";"";"<60";"0 – 212";"<2";"48,136,207,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Niobium (Columbium)";"fluorine";"";"gas";"7782-41-4";"F2";"";"";"100";"77";">50";"51,129,214,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Niobium (Columbium)";"formaldehyde";"methanal";"";"50-00-0";"CH2O";"aldehydes";"";"any";"0 – 212";"<2";"53,209,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Niobium (Columbium)";"formic acid";"methanoic acid";"";"64-18-6";"CH2O2";"organic (weak) acids";"";"<95";"0 – 212";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Niobium (Columbium)";"formic acid";"methanoic acid";"";"64-18-6";"CH2O2";"organic (weak) acids";"";"100";"47 – 212";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Niobium (Columbium)";"glycerol";"1,2,3-trihydroxypropane";"";"56-81-5";"C3H8O3";"alcohols";"";"any";"0 – 212";"<2";"57,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Niobium (Columbium)";"hydrochloric acid";"hydrogen chloride";"";"7647-01-0";"ClH";"inorganic acids";"";"10";"77";"<2";"59,142,210,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Niobium (Columbium)";"hydrochloric acid";"hydrogen chloride";"";"7647-01-0";"ClH";"inorganic acids";"";"10";"149 – 500";">50";"59,142,210,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Niobium (Columbium)";"hydrochloric acid";"hydrogen chloride";"";"7647-01-0";"ClH";"inorganic acids";"";"36";"77";"20 – 50";"59,142,210,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Niobium (Columbium)";"hydrochloric acid";"hydrogen chloride";"";"7647-01-0";"ClH";"inorganic acids";"";"36";"140";">50";"59,142,210,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Niobium (Columbium)";"hydrofluoric acid";"hydrogen fluoride";"";"7664-39-3";"FH";"inorganic acids";"";"40";"77";">50";"60,143,214,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Niobium (Columbium)";"hydrogen peroxide";"";"";"7722-84-1";"H2O2";"oxidizing agents";"";"35";"77 – 500";">50";"63,214,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Niobium (Columbium)";"hydrogen sulfide";"";"";"7783-06-04";"H2S";"gases";"";"100";"0 – 212";"<2";"64,150,220,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Niobium (Columbium)";"hypochlorous acid";"";"";"7790-92-3";"ClHO";"inorganic acids";"";"5";"77";"<2";"211,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Niobium (Columbium)";"lactic acid";"";"";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"any";"0 – 212";"<2";"208,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Niobium (Columbium)";"maleic acid";"";"";"110-16-7";"C4H4O4";"organic (weak) acids";"";"<80";"0 – 212";"<2";"69,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Niobium (Columbium)";"mercuric chloride";"mercury chloride";"";"7487-94-7";"Cl2Hg";"salts";"";"<10";"0 – 212";"<2";"124,210,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Niobium (Columbium)";"naphthalene";"";"";"91-20-3";"C10H8";"aromatics";"";"100";"175 – 212";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Niobium (Columbium)";"nitric acid";"";"";"7697-37-2";"HNO3";"inorganic acids";"";"5 – 15";"25 – 125";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Niobium (Columbium)";"nitric acid";"";"";"7697-37-2";"HNO3";"inorganic acids";"";"5 – 55";"75 – 125";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Niobium (Columbium)";"nitric acid";"";"";"7697-37-2";"HNO3";"inorganic acids";"";"25";"0 – 212";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Niobium (Columbium)";"nitric acid";"";"";"7697-37-2";"HNO3";"inorganic acids";"";"50";"0 – 212";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Niobium (Columbium)";"nitric acid";"";"";"7697-37-2";"HNO3";"inorganic acids";"";"50";"212 – 500";"20 – 50";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Niobium (Columbium)";"nitric acid";"";"";"7697-37-2";"HNO3";"inorganic acids";"";"80";"0 – 176";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
