sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Propylene oxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"propylene oxide";"ethers";"3";"not recommended; disintegrated ";"100";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Fluororubber";"propylene oxide";"ethers";"3";"not recommended; swollen";"100";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Nylon";"propylene oxide";"ethers";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Polychloroprene";"propylene oxide";"ethers";"2";"questionable; swollen";"100";"70 – 80";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyethylene (PE)";"propylene oxide";"ethers";"3";"not recommended; weight gain";"100";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Polymethyl Methacrylate (PMMA)";"propylene oxide";"ethers";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polypropylene (PP)";"propylene oxide";"ethers";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyvinyl Chloride (PVC)";"propylene oxide";"ethers";"3";"not recommended; disintegrated ";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyvinylidene Fluoride (PVDF)";"propylene oxide";"ethers";"2";"questionable";"100";"60 – 70";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Rubber, Butyl (BR)";"propylene oxide";"ethers";"2";"questionable";"100";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Rubber, Natural (NR)";"propylene oxide";"ethers";"3";"not recommended; swollen ";"100";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Styrene Acrylonitrile Copolymer (SAN)";"propylene oxide";"ethers";"3";"not recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
