sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Cresol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"cresol";"";"alcohols";"2";"questionable";"10 – 80";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"cresol";"";"alcohols";"3";"not recommended";">10";"65 – 75";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"cresol";"";"alcohols";"3";"not recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"cresol";"";"alcohols";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"cresol";"";"alcohols";"1";"recommended";"100";"80";"<6";"fumes";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"cresol";"";"alcohols";"1";"recommended";"50";"70 – 175";"";"";"1, 4";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorinated Polyvinyl Chloride (CPVC)";"";"cresol";"";"alcohols";"3";"not recommended";"50";"175 – 212";"";"";"1, 4";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorinated Polyvinyl Chloride (CPVC)";"";"cresol";"";"alcohols";"1";"recommended";"100";"70 – 73";"";"";"1, 4";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorinated Polyvinyl Chloride (CPVC)";"";"cresol";"";"alcohols";"3";"not recommended";"100";"73 – 212";"";"";"1, 4";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorosulfonated Polyethylene";"";"cresol";"";"alcohols";"2";"questionable";"<90";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Chlorosulfonated Polyethylene";"";"cresol";"";"alcohols";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Concrete";"";"cresol";"";"alcohols";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Cements";"";"cresol";"";"alcohols";"1";"recommended";"1";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Cements";"";"cresol";"";"alcohols";"1";"recommended";"1";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"cresol";"";"alcohols";"3";"not recommended; over 3 years";"any";"0 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Epoxy Resin, Glass Fiber- Reinforced";"";"cresol";"";"alcohols";"1";"recommended";"5";"120";"";"";"19";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Epoxy Resin, Glass Fiber- Reinforced";"";"cresol";"";"alcohols";"1";"recommended";"10";"75";"";"";"19";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"cresol";"";"alcohols";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Fluororubber";"";"cresol";"";"alcohols";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"cresol";"vapor";"alcohols";"1";"recommended";"100";"70 – 80";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Glass, Chemical";"";"cresol";"";"alcohols";"1";"recommended";"10";"70 – 212";"";"also with sulfuryl chloride";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Glassed Steel";"";"cresol";"";"alcohols";"1";"recommended; questionable ";">10";"50 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nylon";"";"cresol";"";"alcohols";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Perfluoroalkoxy Resins";"";"cresol";"";"alcohols";"1";"recommended; steady state reached in one week exposure";"100";"32 – 350";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Perfluoroalkoxy Resins";"";"cresol";"";"alcohols";"1";"recommended; weight gain, strength loss";"100";"350 – 376";"";"boiling point 191°C (376°F)";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Polychloroprene";"";"cresol";"";"alcohols";"3";"not recommended";"10 – 90";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Polyesters, Glass Fiber-Reinforced";"";"cresol";"";"alcohols";"1";"recommended";"10";"50 – 75";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Polyesters, Glass Fiber-Reinforced";"";"cresol";"";"alcohols";"3";"not recommended";">10";"75 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyesters, Glass Fiber-Reinforced";"";"cresol";"";"alcohols";"3";"not recommended";">20";"50 – 75";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyethylene (PE)";"";"cresol";"";"alcohols";"2";"questionable; may stress crack";"50";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyethylene (PE)";"";"cresol";"";"alcohols";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Polymethyl Methacrylate (PMMA)";"";"cresol";"";"alcohols";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"cresol";"";"alcohols";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Polypropylene (PP)";"";"cresol";"";"alcohols";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Polypropylene (PP)";"";"cresol";"";"alcohols";"2";"questionable";"100";"125 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Polyvinyl Chloride (PVC)";"";"cresol";"";"alcohols";"2";"questionable";"50";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Polyvinyl Chloride (PVC)";"";"cresol";"";"alcohols";"3";"not recommended";"50";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Polyvinyl Chloride (PVC)";"";"cresol";"";"alcohols";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Polyvinylidene Fluoride (PVDF)";"";"cresol";"";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Polyvinylidene Fluoride (PVDF)";"";"cresol";"";"alcohols";"2";"questionable";"100";"150 – 212";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Rubber, Butyl (BR)";"";"cresol";"";"alcohols";"1";"recommended";"10 – 90";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Rubber, Natural (NR)";"";"cresol";"";"alcohols";"3";"not recommended";"10 – 90";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Wood";"";"cresol";"";"alcohols";"1";"recommended";"100";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
