sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium permanganate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"26";"Phenolic Resins, Asbestos-Reinforced";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Polychloroprene";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"<6";"70 – 150";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Polychloroprene";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"<18";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyesters, Glass Fiber-Reinforced";"";"potassium permanganate";"saturated";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"10 – 20";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyethylene (PE)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"20";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyethylene (PE)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"3";"not recommended; weight loss ";"20";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Polymethyl Methacrylate (PMMA)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"10";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"33";"Polymethyl Methacrylate (PMMA)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"3";"not recommended; weight gain";"20";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"34";"Polymethyl Methacrylate (PMMA)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"3";"not recommended; weight gain, blistered";"20";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"35";"Polypropylene (PP)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"20";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"36";"Polypropylene (PP)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"37";"Polypropylene (PP)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Polyvinyl Chloride (PVC)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"39";"Polyvinyl Chloride (PVC)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"3";"not recommended";"20";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"40";"Polyvinyl Chloride (PVC)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"3";"not recommended; weight gain ";"20";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Polyvinylidene Fluoride (PVDF)";"Kynar";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"100";"70 – 250";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"42";"Rubber, Butyl (BR)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"<6";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"43";"Rubber, Butyl (BR)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"<18";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"44";"Rubber, Natural (NR)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"<6";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"45";"Rubber, Natural (NR)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"<18";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"46";"Rubber, Natural (NR)";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"3";"not recommended; swollen, ";"20";"200 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"47";"Vinyl Ester Resins";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"any";"70 – 150";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"48";"Vinyl Ester Resins";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"1";"recommended";"any";"210";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"49";"Wood";"";"potassium permanganate";"";"7722-64-7";"KMnO4";"oxidizing agents";"3";"not recommended";"10 – 20";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
