sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Malic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"5 – 15";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"15 – 45";"52 – 145";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"15 – 55";"145 – 192";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"45 – 55";"52 – 100";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"45 – 55";"100 – 145";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"5 – 15";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"15 – 45";"52 – 145";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"15 – 55";"145 – 192";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"45 – 55";"52 – 100";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 30-44-5-3W (G-30)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"45 – 55";"100 – 145";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Aluminum Alloy (3003/ 5154)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"5 – 55";"52 – 102";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Aluminum Alloy (3003/ 5154)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"5 – 55";"187 – 237";"20 – 50";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"5 – 15";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"malic acid";"617-48-1";"C4H6O5";"organic (weak) acids";"";"15 – 45";"52 – 147";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
