sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Jet fuel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Cellulose Acetate";"";"jet fuel";"petroleum product";"fuels";"3";"not recommended; weight loss";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Cellulose Acetate Butyrate";"";"jet fuel";"petroleum product";"fuels";"2";"questionable; weight gain";"100";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorinated Polyvinyl Chloride (CPVC)";"";"jet fuel";"petroleum product";"fuels";"1";"recommended";"100";"70 – 150";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorosulfonated Polyethylene";"";"jet fuel";"petroleum product";"fuels";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Glass Fiber- Reinforced";"";"jet fuel";"petroleum product";"fuels";"1";"recommended";"100";"70 – 150";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"jet fuel";"JP4; petroleum product";"fuels";"1";"recommended";"100";"250";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"jet fuel";"petroleum product";"fuels";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"";"jet fuel";"petroleum product";"fuels";"1";"recommended";"100";"60 – 70";"";"moderate plasticizer";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyethylene (PE)";"";"jet fuel";"petroleum product";"fuels";"2";"questionable";"100";"70 – 125";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"jet fuel";"petroleum product";"fuels";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polypropylene (PP)";"";"jet fuel";"petroleum product";"fuels";"2";"questionable; strength loss";"100";"60 – 70";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polypropylene (PP)";"";"jet fuel";"petroleum product";"fuels";"2";"questionable";"100";"70 – 150";"";"intermittent exposure";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinyl Chloride (PVC)";"";"jet fuel";"petroleum product";"fuels";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
