sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Calcium chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"<40";"0 – 212";"<2";"";"25,111,166,210";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Aluminum Alloy (3003/ 5154)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 55";"75 – 225";"<20";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"5 – 65";"25 – 75";"<20";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"25 – 35";"225 – 275";"20 – 50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"45 – 55";"225 – 275";"20 – 50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"55 – 65";"75 – 225";"20 – 50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"65 – 75";"225 – 275";"20 – 50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"pitting; stress corrosion cracking";"5 – 75";"215 – 225";"<20";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"10 – 40";"0 – 212";"<2";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"calcium chloride";"hydrophilite";"10043-52-4";"CaCl2";"salts";"";"15 – 25";"275 – 325";">50";"";"25,111,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
