sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Lithium hydroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"3";"428";"<2";"182,212,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"stress corrosion cracking";"5 – 15";"425 – 475";"<2";"182,212,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"3";"428";"<2";"182,212";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"25 – 75";">50";"212,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"pitting";"5 – 15";"425 – 475";"<20";"212,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"stress corrosion cracking";"5 – 15";"425 – 475";"<2";"212,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"25 – 225";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cr Stainless Steel (12Cr)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"425 – 475";">50";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cr Stainless Steel (17Cr)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"375 – 425";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Gold/ Platinum";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"25 – 225";"<2";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Lead";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"25 – 75";">50";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"25 – 225";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"25 – 225";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"25 – 225";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"25 – 225";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"25 – 225";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Nickel (200)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"25 – 225";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nickel Cast Iron (15-35Ni)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"25 – 75";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel-Copper (400)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"25 – 225";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Ni-Cr-Fe Alloy (600/ 690)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"25 – 225";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Ni-Mo Alloy (Ni-30Mo; B-2)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"25 – 225";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Silicon Cast Iron (14Si)";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"52 – 102";">50";"212,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Silver";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"25 – 225";"<20";"212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Steels, Carbon/ Low Alloy";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"5 – 15";"25 – 325";"<20";"212,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Titanium, Unalloyed";"lithium hydroxide";"1310-65-2";"HLiO";"bases";"";"3";"428";"<2";"182,212";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
