sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetic anhydride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Glass, Chemical";"";"acetic anhydride";"108-24-7";"C4H6O3";"anhydrides";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyesters, Glass Fiber-Reinforced";"";"acetic anhydride";"108-24-7";"C4H6O3";"anhydrides";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyethylene (PE)";"";"acetic anhydride";"108-24-7";"C4H6O3";"anhydrides";"3";"not recommended; may stress crack";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"acetic anhydride";"108-24-7";"C4H6O3";"anhydrides";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyvinylidene Fluoride (PVDF)";"Kynar";"acetic anhydride";"108-24-7";"C4H6O3";"anhydrides";"2";"questionable";"100";"60 – 100";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyvinylidene Fluoride (PVDF)";"";"acetic anhydride";"108-24-7";"C4H6O3";"anhydrides";"3";"not recommended";"100";"100 – 150";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Rubber, Natural (NR)";"";"acetic anhydride";"108-24-7";"C4H6O3";"anhydrides";"1";"recommended";"100";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Rubber, Natural (NR)";"";"acetic anhydride";"108-24-7";"C4H6O3";"anhydrides";"2";"questionable";"100";"100 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Rubber, Natural (NR)";"";"acetic anhydride";"108-24-7";"C4H6O3";"anhydrides";"3";"not recommended";"100";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Vinyl Ester Resins";"";"acetic anhydride";"108-24-7";"C4H6O3";"anhydrides";"1";"recommended";"100";"70 – 100";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Wood";"";"acetic anhydride";"108-24-7";"C4H6O3";"anhydrides";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
