sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrobromic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Lead";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"5 – 15";"25 – 75";"<2";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Lead";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"15 – 95";"25 – 75";">50";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Lead";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"100";"175 – 225";">50";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel (200)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"5 – 65";"25 – 75";">50";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel (200)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"85 – 95";"125 – 175";">50";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel (200)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"100";"25 – 75";"<20";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel (200)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"100";"75 – 125";">50";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel Cast Iron (15-35Ni)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"5 – 15";"25 – 75";"<2";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel Cast Iron (15-35Ni)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"15 – 55";"25 – 75";"<20";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Nickel Cast Iron (15-35Ni)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"45 – 55";"175 – 225";">50";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Nickel Cast Iron (15-35Ni)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"75 – 95";"25 – 75";">50";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel Cast Iron (15-35Ni)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"100";"175 – 225";">50";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel-Copper (400)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"5 – 65";"25 – 75";">50";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel-Copper (400)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"75 – 85";"125 – 175";">50";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel-Copper (400)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"100";"175 – 225";">50";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Ni-Mo Alloy (Ni-30Mo; B-2)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"5 – 55";"25 – 225";"20 – 50";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Silicon Cast Iron (14Si)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"5 – 15";"52 – 102";"<2";"low air, oxygen";"58,218";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Silicon Cast Iron (14Si)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"15 – 55";"52 – 102";"<20";"low air, oxygen";"58,218";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Silicon Cast Iron (14Si)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"45 – 55";"187 – 237";">50";"";"58,218";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Silicon Cast Iron (14Si)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"75 – 95";"52 – 102";">50";"";"58,218";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Silicon Cast Iron (14Si)";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"100";"187 – 237";">50";"";"58,218";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Silver";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"5 – 65";"25 – 75";">50";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Silver";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"100";"25 – 75";">50";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Steels, Carbon/ Low Alloy";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"5 – 95";"25 – 75";">50";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Steels, Carbon/ Low Alloy";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"100";"25 – 425";"<2";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Tantalum";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";">5";"25 – 325";"<2";"";"58,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Titanium, Unalloyed";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"5 – 25";"25 – 75";"<2";"";"58,177,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Titanium, Unalloyed";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"30";"77";"<2";"";"58,177,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Titanium, Unalloyed";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"35 – 45";"25 – 225";"<2";"";"58,177,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Titanium, Unalloyed";"hydrobromic acid";"hydrogen bromide";"10035-10-6";"BrH";"inorganic acids";"";"100";"77";"<2";"";"58,177,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
