sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Isopropyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"hazardous!";"";"0";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Nickel (200)";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel Cast Iron (15-35Ni)";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nickel-Copper (400)";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Ni-Cr-Fe Alloy (600/ 690)";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Silicon Cast Iron (14Si)";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"52 – 237";"<2";"210,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Steels, Carbon/ Low Alloy";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Superferritic Stainless Steel (26-1)";"isopropyl chloride";"2-chloropropane";"75-29-6";"C3H7Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
