sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hexamethylenetetramine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"1";"recommended";"25";"90";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"1";"recommended";"30";"130";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"3";"Concrete";"";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"1";"recommended";"10 – 90";"60 – 70";"";"~7pH; >7pH";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Glass, Chemical";"";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"1";"recommended";">10";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyesters, Glass Fiber-Reinforced";"";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"1";"recommended";"30";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Vinyl Ester Resins";"";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"1";"recommended";"40";"70 – 120";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"7";"Wood";"";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"1";"recommended";"10 – 90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
