sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium sulfide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"1 – 50";"0 – 230";"<2";"95,198,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 55";"25 – 225";"<2";"95,198,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"1 – 50";"0 – 230";"<2";"95,198";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"1 – 50";"0 – 230";"<2";"95,198,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 55";"25 – 225";"<2";"95,198,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"55 – 65";"175 – 425";">50";"95,198,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"1 – 50";"0 – 230";"<2";"95,198,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 55";"25 – 225";"<2";"95,198,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"55 – 65";"175 – 425";">50";"95,198,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Aluminum Alloy (3003/ 5154)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 15";"25 – 225";"<2";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Aluminum Alloy (3003/ 5154)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 35";"175 – 225";"<2";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Aluminum Alloy (3003/ 5154)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"45 – 55";"275 – 325";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 15";"25 – 75";"<2";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 15";"175 – 225";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 25";"75 – 175";"<20";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"15 – 55";"25 – 75";"<20";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"25 – 35";"175 – 225";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"25 – 55";"75 – 175";"20 – 50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"25 – 65";"275 – 325";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"55 – 65";"125 – 175";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"100";"25 – 75";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 15";"25 – 225";"<2";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"15 – 35";"25 – 125";"<20";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"15 – 35";"125 – 225";"<2";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"15 – 65";"275 – 325";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"35 – 45";"175 – 225";"<2";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"45 – 55";"25 – 225";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"55 – 65";"175 – 225";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"55 – 65";"375 – 425";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"100";"225 – 375";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Brass (>15Zn)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 55";"25 – 75";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Cast Iron, Gray/ Ductile";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 15";"25 – 75";"20 – 50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Cast Iron, Gray/ Ductile";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"15 – 45";"175 – 225";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Cast Iron, Gray/ Ductile";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"45 – 55";"125 – 175";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Cast Iron, Gray/ Ductile";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"45 – 55";"325 – 375";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Cast Iron, Gray/ Ductile";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"100";"25 – 75";"<20";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Copper/ Bronze/ Low Brass";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 55";"25 – 75";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Copper-Nickel";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 55";"25 – 75";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Cr Stainless Steel (12Cr)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"pitting";"5 – 15";"25 – 75";"<2";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Cr Stainless Steel (12Cr)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 55";"175 – 225";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Cr Stainless Steel (17Cr)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"pitting";"5 – 15";"25 – 75";"<2";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Cr Stainless Steel (17Cr)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 55";"175 – 225";">50";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Duplex Stainless Steel (25-6-3)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"1 – 50";"0 – 230";"<2";"95,198";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Gold/ Platinum";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 55";"25 – 225";"<2";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Lead";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 35";"25 – 225";"<2";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Lead";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"35 – 45";"175 – 225";"<20";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Lead";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"100";"25 – 75";"<2";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 15";"25 – 225";"<20";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"5 – 55";"175 – 225";"<20";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sodium sulfide";"1313-82-2";"Na2S";"salts";"";"15 – 25";"75 – 125";"<2";"95,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
