sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Concrete";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Concrete";"acetaldehyde";"ethanal";"";"75-07-0";"C2H4O";"aldehydes";"2";"questionable";"100";"60 – 70";"";">7pH; permeable";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Concrete";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"100";"60 – 70";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Concrete";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"1";"recommended";"100";"60 – 70";"";">7pH";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Concrete";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Concrete";"aluminum fluoride";"aluminum trifluoride";"";"7784-18-1";"AlF3";"salts";"1";"recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Concrete";"aluminum potassium sulfate";"potassium aluminum sulfate";"";"10043-67-1";"AlKO8S2";"salts";"3";"not recommended";">10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Concrete";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Concrete";"ammonia";"";"";"7664-41-7";"H3N";"bases";"1";"recommended";">10";"60 – 70";"";"gas; liquid; aged";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Concrete";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"3";"not recommended";"10 – 30";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Concrete";"ammonium nitrate";"";"";"6484-52-2";"H4N2O3";"salts";"3";"not recommended";">10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Concrete";"ammonium phosphate";"";"";"";"";"salts";"1";"recommended";"10 – 60";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Concrete";"ammonium sulfate";"";"";"7783-20-2";"H8N2O4S";"salts";"3";"not recommended";">10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
