sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"potassium nitrate";"saltpeter";"";"7757-79-1";"KNO3";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"potassium nitrate";"saltpeter";"";"7757-79-1";"KNO3";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"potassium nitrate";"saltpeter";"saturated";"7757-79-1";"KNO3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"potassium nitrate";"saltpeter";"";"7757-79-1";"KNO3";"salts";"1";"recommended";"any";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"potassium nitrate";"saltpeter";"";"7757-79-1";"KNO3";"salts";"1";"recommended";"any";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"potassium nitrate";"saltpeter";"";"7757-79-1";"KNO3";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 12";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"potassium nitrate";"saltpeter";"saturated";"7757-79-1";"KNO3";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"8";"Concrete";"";"potassium nitrate";"saltpeter";"";"7757-79-1";"KNO3";"salts";"1";"recommended";">10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Cements";"";"potassium nitrate";"saltpeter";"";"7757-79-1";"KNO3";"salts";"1";"recommended";"25";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Cements";"";"potassium nitrate";"saltpeter";"";"7757-79-1";"KNO3";"salts";"1";"recommended";"25";"140";"";"";"5";"";"";"";"";"";"";"";"";"";""
