sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium cyanide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyethylene (PE)";"";"potassium cyanide";"saturated";"151-50-8";"CKN";"salts";"1";"recommended";"50";"60 – 70";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyethylene (PE)";"";"potassium cyanide";"saturated";"151-50-8";"CKN";"salts";"1";"recommended";"100";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"potassium cyanide";"";"151-50-8";"CKN";"salts";"1";"recommended";"100";"0 – 200";"<1";"11";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Polypropylene (PP)";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"1";"recommended";"<10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Polypropylene (PP)";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"1";"recommended";"50 – 90";"70 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Polypropylene (PP)";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"2";"questionable";"50 – 90";"175 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Polyvinyl Chloride (PVC)";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Polyvinylidene Fluoride (PVDF)";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"1";"recommended";"100";"70 – 275";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Rubber, Natural (NR)";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"1";"recommended";"10";"70 – 100";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Rubber, Natural (NR)";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"2";"questionable";"10";"100 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Rubber, Natural (NR)";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"2";"questionable";">50";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Rubber, Natural (NR)";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"3";"not recommended";">50";"150 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Wood";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"1";"recommended; >20 years, tanks";"1 – 2";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Wood";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"1";"recommended";"10 – 90";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Wood";"";"potassium cyanide";"";"151-50-8";"CKN";"salts";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
