sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Glassed Steel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Glassed Steel";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Glassed Steel";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Glassed Steel";"acrylonitrile";"propenenitrile";"";"107-13-1";"C3H3N";"nitriles";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Glassed Steel";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"1";"recommended; recommended ~1-3%, ";">10";"50 – 200";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Glassed Steel";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"3";"not recommended";">10";"200 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Glassed Steel";"ammonium nitrate";"";"";"6484-52-2";"H4N2O3";"salts";"1";"recommended";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Glassed Steel";"ammonium sulfate";"";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended; questionable ~1-5% >130°C (266°F)";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Glassed Steel";"aniline";"benzenamine";"";"62-53-3";"C6H7N";"amines";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Glassed Steel";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Glassed Steel";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended";">10";"50 – 300";"questionable ";"1";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Glassed Steel";"carbon tetrachloride";"tetrachloromethane";"";"56-23-5";"CCl4";"solvents";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Glassed Steel";"chlorine";"";"";"7782-50-5";"Cl2";"";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Glassed Steel";"chlorine dioxide";"";"gas";"10049-04-4";"ClO2";"oxidizing agents";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Glassed Steel";"chloroacetic acid";"";"";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Glassed Steel";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended";"0.5";"70 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Glassed Steel";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"";"77-92-9";"C6H8O7";"organic (weak) acids";"1";"recommended";"100";"70 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Glassed Steel";"cresol";"";"";"";"";"alcohols";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Glassed Steel";"crude oil";"";"petroleum product";"";"";"petroleum products";"1";"recommended";">10";"50 – 300";"brief exposure";"1";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Glassed Steel";"ethylene dichloride";"1,2-dichloroethane";"";"107-06-2";"C2H4Cl2";"solvents";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Glassed Steel";"ethylene glycol";"1,2-ethanediol";"";"107-21-1";"C2H6O2";"alcohols";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Glassed Steel";"ferric chloride";"iron chloride";"";"7705-08-0";"Cl3Fe";"salts";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Glassed Steel";"formaldehyde";"methanal";"";"50-00-0";"CH2O";"aldehydes";"1";"recommended";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Glassed Steel";"gasoline";"";"petroleum product";"";"";"fuels";"1";"recommended; questionable ";">10";"50 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Glassed Steel";"hydrochloric acid";"hydrogen chloride";"";"7647-01-0";"ClH";"inorganic acids";"2";"questionable";"<10";"285 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Glassed Steel";"hydrochloric acid";"hydrogen chloride";"";"7647-01-0";"ClH";"inorganic acids";"2";"questionable";"10 – 20";"275 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Glassed Steel";"hydrochloric acid";"hydrogen chloride";"";"7647-01-0";"ClH";"inorganic acids";"1";"recommended";"10 – 40";"50 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Glassed Steel";"hydrochloric acid";"hydrogen chloride";"";"7647-01-0";"ClH";"inorganic acids";"2";"questionable";"20";"250 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Glassed Steel";"hydrochloric acid";"hydrogen chloride";"";"7647-01-0";"ClH";"inorganic acids";"2";"questionable";"20 – 30";"280 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
