sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Carbon tetrabromide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"carbon tetrabromide";"tetrabromomethane";"558-13-4";"CBr4";"halogenated aliphatics";"";"100";"194 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"carbon tetrabromide";"tetrabromomethane";"558-13-4";"CBr4";"halogenated aliphatics";"pitting";"100";"194 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"carbon tetrabromide";"tetrabromomethane";"558-13-4";"CBr4";"halogenated aliphatics";"";"100";"194 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Lead";"carbon tetrabromide";"tetrabromomethane";"558-13-4";"CBr4";"halogenated aliphatics";"";"100";"194 – 225";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"carbon tetrabromide";"tetrabromomethane";"558-13-4";"CBr4";"halogenated aliphatics";"";"100";"194 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"carbon tetrabromide";"tetrabromomethane";"558-13-4";"CBr4";"halogenated aliphatics";"";"100";"194 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"carbon tetrabromide";"tetrabromomethane";"558-13-4";"CBr4";"halogenated aliphatics";"";"100";"194 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"carbon tetrabromide";"tetrabromomethane";"558-13-4";"CBr4";"halogenated aliphatics";"";"100";"194 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"carbon tetrabromide";"tetrabromomethane";"558-13-4";"CBr4";"halogenated aliphatics";"";"100";"194 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Nickel (200)";"carbon tetrabromide";"tetrabromomethane";"558-13-4";"CBr4";"halogenated aliphatics";"";"100";"194 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Nickel-Copper (400)";"carbon tetrabromide";"tetrabromomethane";"558-13-4";"CBr4";"halogenated aliphatics";"";"100";"194 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Ni-Cr-Fe Alloy (600/ 690)";"carbon tetrabromide";"tetrabromomethane";"558-13-4";"CBr4";"halogenated aliphatics";"";"100";"194 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Steels, Carbon/ Low Alloy";"carbon tetrabromide";"tetrabromomethane";"558-13-4";"CBr4";"halogenated aliphatics";"";"100";"194 – 225";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Tantalum";"carbon tetrabromide";"tetrabromomethane";"558-13-4";"CBr4";"halogenated aliphatics";"";"100";"194 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
