sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Isovaleric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"isovaleric acid";"3-methylbutanoic acid";"503-74-2";"C5H10O2";"organic (weak) acids";"";"100";"25 – 275";"<2";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"isovaleric acid";"3-methylbutanoic acid";"503-74-2";"C5H10O2";"organic (weak) acids";"";"100";"25 – 375";"<2";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"isovaleric acid";"3-methylbutanoic acid";"503-74-2";"C5H10O2";"organic (weak) acids";"";"100";"25 – 375";"<2";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"isovaleric acid";"3-methylbutanoic acid";"503-74-2";"C5H10O2";"organic (weak) acids";"";"100";"25 – 375";"<2";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"isovaleric acid";"3-methylbutanoic acid";"503-74-2";"C5H10O2";"organic (weak) acids";"";"100";"25 – 275";"<2";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"isovaleric acid";"3-methylbutanoic acid";"503-74-2";"C5H10O2";"organic (weak) acids";"";"100";"25 – 275";"<2";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"isovaleric acid";"3-methylbutanoic acid";"503-74-2";"C5H10O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"25 – 125";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"isovaleric acid";"3-methylbutanoic acid";"503-74-2";"C5H10O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"125 – 225";"<20";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"isovaleric acid";"3-methylbutanoic acid";"503-74-2";"C5H10O2";"organic (weak) acids";"";"100";"25 – 275";">50";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"isovaleric acid";"3-methylbutanoic acid";"503-74-2";"C5H10O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"25 – 125";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
