sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium perchlorate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 15";"25 – 225";"<2";"";"91,198,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"10";"221";"<2";"";"91,198";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 15";"25 – 225";"<2";"";"91,198,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"15 – 70";"175 – 225";"<2";"";"91,198,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 15";"25 – 225";"<2";"";"91,198,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"15 – 70";"175 – 225";"<2";"";"91,198,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 45";"25 – 75";"20 – 50";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"65 – 70";"25 – 225";"<2";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 15";"25 – 225";"<2";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"15 – 70";"175 – 225";"<20";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 15";"25 – 225";"<2";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"15 – 70";"175 – 225";"<20";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cast Iron, Gray/ Ductile";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 70";"25 – 75";">50";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper/ Bronze/ Low Brass";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 70";"175 – 225";"<2";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper-Nickel";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 70";"175 – 225";"<2";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cr Stainless Steel (12Cr)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 15";"175 – 225";">50";"";"91,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cr Stainless Steel (17Cr)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 15";"175 – 225";">50";"";"91,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Duplex Stainless Steel (25-6-3)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"10";"221";"<2";"";"91,198";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Gold/ Platinum";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 70";"175 – 225";"<2";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Lead";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 70";"175 – 225";"<2";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel (200)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 70";"175 – 225";"<2";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel Cast Iron (15-35Ni)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 70";"175 – 225";"<2";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel-Copper (400)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 70";"175 – 225";"<2";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Ni-Cr-Fe Alloy (600/ 690)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 70";"175 – 225";"<2";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Ni-Mo Alloy (Ni-30Mo; B-2)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 70";"175 – 225";"<2";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Silicon Cast Iron (14Si)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 70";"187 – 237";"<2";"low NaCl";"91,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Silver";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 70";"175 – 225";"<2";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Steels, Carbon/ Low Alloy";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 70";"25 – 75";">50";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Superferritic Stainless Steel (26-1)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 15";"25 – 225";"<2";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Superferritic Stainless Steel (26-1)";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"15 – 70";"175 – 225";"<20";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Tantalum";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 70";"175 – 225";"<2";"";"91,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Titanium, Unalloyed";"sodium perchlorate";"7601-89-0";"ClNaO4";"salts";"5 – 70";"175 – 225";"<2";"";"91,198,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
