sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Mercuric nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"mercuric nitrate";"mercury nitrate";"10045-94-0";"HgN2O6";"salts";"5";"68";"<2";"124,184,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"mercuric nitrate";"mercury nitrate";"10045-94-0";"HgN2O6";"salts";"5 – 15";"25 – 225";"<20";"124,184,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"mercuric nitrate";"mercury nitrate";"10045-94-0";"HgN2O6";"salts";"5";"68";"<2";"124,184,216";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"mercuric nitrate";"mercury nitrate";"10045-94-0";"HgN2O6";"salts";"5";"68";"<2";"124,184,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"mercuric nitrate";"mercury nitrate";"10045-94-0";"HgN2O6";"salts";"5 – 15";"25 – 225";"<20";"124,184,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"mercuric nitrate";"mercury nitrate";"10045-94-0";"HgN2O6";"salts";"5";"68";"<2";"124,184,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"mercuric nitrate";"mercury nitrate";"10045-94-0";"HgN2O6";"salts";"5 – 15";"25 – 225";"<20";"124,184,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"mercuric nitrate";"mercury nitrate";"10045-94-0";"HgN2O6";"salts";"5 – 15";"65 – 75";">50";"124,216,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"mercuric nitrate";"mercury nitrate";"10045-94-0";"HgN2O6";"salts";"5";"68";"<2";"124,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"mercuric nitrate";"mercury nitrate";"10045-94-0";"HgN2O6";"salts";"10 – 15";"25 – 225";"<20";"124,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
