sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chloroacetic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Polychloroprene";"";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"2";"questionable";"100";"100 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Polyesters, Glass Fiber-Reinforced";"";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"1";"recommended";"50";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Polyesters, Glass Fiber-Reinforced";"";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"3";"not recommended";"80";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Polyesters, Glass Fiber-Reinforced";"";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Polyethylene (PE)";"";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"2";"questionable; may stress crack; low plasticizer";"100";"60 – 70";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Polyethylene (PE)";"";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Polymethyl Methacrylate (PMMA)";"";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Polypropylene (PP)";"";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"1";"recommended";"50";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Polyvinyl Chloride (PVC)";"";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"2";"questionable";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Polyvinyl Chloride (PVC)";"";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"3";"not recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Polyvinylidene Fluoride (PVDF)";"Kynar";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"2";"questionable";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Rubber, Butyl (BR)";"";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"1";"recommended";"80";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Rubber, Butyl (BR)";"";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"3";"not recommended";"80";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Rubber, Butyl (BR)";"";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"1";"recommended";"100";"70 – 100";"";"85% also";"1";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Rubber, Butyl (BR)";"";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"2";"questionable";"100";"100 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Rubber, Natural (NR)";"";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"2";"questionable";"80";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Rubber, Natural (NR)";"";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"3";"not recommended";"80";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
