sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Kerosene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"kerosene";"petroleum product";"fuels";"1";"recommended";"100";"70 – 175";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"kerosene";"petroleum product";"fuels";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"kerosene";"petroleum product";"fuels";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Carbon-Graphite Composites";"";"kerosene";"petroleum product";"fuels";"1";"recommended";"100";"70 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate";"";"kerosene";"petroleum product";"fuels";"2";"questionable; weight loss";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate Butyrate";"";"kerosene";"petroleum product";"fuels";"2";"questionable; weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"kerosene";"vapor & condensate; petroleum product";"fuels";"1";"recommended";"100";"120";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"kerosene";"petroleum product";"fuels";"1";"recommended";"100";"130";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"kerosene";"petroleum product";"fuels";"1";"recommended";"100";"175";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"kerosene";"petroleum product";"fuels";"1";"recommended";"100";"120";"<6";"also vapor and condensate";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"kerosene";"petroleum product";"fuels";"1";"recommended";"100";"175";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Chlorinated Polyvinyl Chloride (CPVC)";"";"kerosene";"petroleum product";"fuels";"1";"recommended";"100";"70 – 175";"";"";"1, 12";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Chlorosulfonated Polyethylene";"";"kerosene";"petroleum product";"fuels";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"kerosene";"petroleum product";"fuels";"1";"recommended; over 3 years";">10";"75 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
