sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrogen chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 475";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 500";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 500";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 75";">50";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 475";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 475";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 225";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"375 – 425";"20 – 50";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"475 – 500";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"hydrogen chloride";"hydrochloric acid";"7647-01-0";"ClH";"gases";"100";"25 – 125";"<2";"";"62,142,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
