sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Crotonaldehyde";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"crotonaldehyde";"aldehydes";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"crotonaldehyde";"aldehydes";"3";"not recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorinated Polyvinyl Chloride (CPVC)";"";"crotonaldehyde";"aldehydes";"3";"not recommended";"100";"70 – 212";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorosulfonated Polyethylene";"";"crotonaldehyde";"aldehydes";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"crotonaldehyde";"aldehydes";"1";"recommended";"100";"70 – 90";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluororubber";"";"crotonaldehyde";"aldehydes";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polychloroprene";"";"crotonaldehyde";"aldehydes";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"";"crotonaldehyde";"aldehydes";"1";"recommended";"100";"60 – 70";"plasticizer";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyethylene (PE)";"";"crotonaldehyde";"aldehydes";"2";"questionable";"100";"70 – 150";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyvinyl Chloride (PVC)";"";"crotonaldehyde";"aldehydes";"3";"not recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyvinylidene Fluoride (PVDF)";"Kynar";"crotonaldehyde";"aldehydes";"1";"recommended";"100";"70 – 120";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyvinylidene Fluoride (PVDF)";"";"crotonaldehyde";"aldehydes";"2";"questionable";"100";"120 – 150";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinylidene Fluoride (PVDF)";"";"crotonaldehyde";"aldehydes";"3";"not recommended";"100";"150 – 285";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Rubber, Butyl (BR)";"";"crotonaldehyde";"aldehydes";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Rubber, Natural (NR)";"";"crotonaldehyde";"aldehydes";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
