sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethanolamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Carbon-Graphite Composites";"";"ethanolamine";"glycinol";"";"141-43-5";"C2H7NO";"amines";"1";"recommended";"10 – 90";"70 – 212";"";"mono and di";"1";"";"";"";"";"";"";"";"";"";""
"2";"Carbon-Graphite Composites";"";"ethanolamine";"glycinol";"";"141-43-5";"C2H7NO";"amines";"1";"recommended";"100";"70 – 339";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"ethanolamine";"glycinol";"";"141-43-5";"C2H7NO";"amines";"3";"not recommended";"any";"0 – 200";"<6";"";"10";"";"";"";"";"";"";"";"";"";""
"4";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"ethanolamine";"glycinol";"";"141-43-5";"C2H7NO";"amines";"3";"not recommended";"any";"200 – 400";"";"loss in mechanical properties";"10";"";"";"";"";"";"";"";"";"";""
"5";"Phenolic Resins, Asbestos-Reinforced";"";"ethanolamine";"glycinol";"mono-";"141-43-5";"C2H7NO";"amines";"1";"recommended";"20";"150 – 200";"";"Haveg 61";"1";"";"";"";"";"";"";"";"";"";""
"6";"Phenolic Resins, Asbestos-Reinforced";"";"ethanolamine";"glycinol";"";"141-43-5";"C2H7NO";"amines";"2";"questionable";"50";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"7";"Polyesters, Glass Fiber-Reinforced";"";"ethanolamine";"glycinol";"mono-";"141-43-5";"C2H7NO";"amines";"3";"not recommended; di- recommended 21-38°C (70-100°F)";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"8";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"ethanolamine";"glycinol";"";"141-43-5";"C2H7NO";"amines";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";""
"9";"Polypropylene (PP)";"";"ethanolamine";"glycinol";"";"141-43-5";"C2H7NO";"amines";"1";"recommended";"100";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";""
"10";"Polyvinylidene Fluoride (PVDF)";"Kynar";"ethanolamine";"glycinol";"";"141-43-5";"C2H7NO";"amines";"3";"not recommended";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";""
"11";"Vinyl Ester Resins";"";"ethanolamine";"glycinol";"";"141-43-5";"C2H7NO";"amines";"1";"recommended";"100";"70 – 80";"";"";"7";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
