sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chlorine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chlorine";"7782-50-5";"Cl2";"";"";"85 – 95";"25 – 75";">50";"33,144,211,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chlorine";"7782-50-5";"Cl2";"";"";"100";"25 – 225";"<2";"33,144,211,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chlorine";"7782-50-5";"Cl2";"";"";"100";"225 – 325";"<20";"33,144,211,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"chlorine";"7782-50-5";"Cl2";"";"";"85 – 95";"25 – 75";">50";"33,144,211,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"chlorine";"7782-50-5";"Cl2";"";"";"100";"25 – 225";"<2";"33,144,211,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"chlorine";"7782-50-5";"Cl2";"";"";"100";"225 – 325";"<20";"33,144,211,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"chlorine";"7782-50-5";"Cl2";"";"";"65 – 75";"25 – 225";">50";"33,144,211,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"chlorine";"7782-50-5";"Cl2";"";"";"65 – 75";"225 – 425";"<20";"33,144,211,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Aluminum Alloy (3003/ 5154)";"chlorine";"7782-50-5";"Cl2";"";"";"85 – 95";"25 – 225";">50";"33,144,211,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Aluminum Alloy (3003/ 5154)";"chlorine";"7782-50-5";"Cl2";"";"";"85 – 95";"225 – 425";"<20";"33,144,211,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Aluminum Alloy (3003/ 5154)";"chlorine";"7782-50-5";"Cl2";"";"";">85";"225 – 275";"<20";"33,144,211,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Aluminum Alloy (3003/ 5154)";"chlorine";"7782-50-5";"Cl2";"";"";"100";"25 – 275";"<20";"33,144,211,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Aluminum Alloy (3003/ 5154)";"chlorine";"7782-50-5";"Cl2";"";"";"100";"275 – 325";">50";"33,144,211,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
