sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Zinc chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"10";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"2";"questionable";"10";"100 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"2";"questionable";">20";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acetal Resins (Polyoxymethylene)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"3";"not recommended";">20";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"50";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"zinc chloride";"saturated";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Carbon-Graphite Composites";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Cellulose Acetate";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"10";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Cellulose Acetate";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"3";"not recommended; may dissolve";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Cellulose Acetate Butyrate";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"10 – 90";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Cellulose Acetate Butyrate";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"2";"questionable";"100";"60 – 70";"";"saturated, discolored";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"any";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"14";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"70";"310";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"15";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"any";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"16";"Chlorinated Polyvinyl Chloride (CPVC)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"17";"Chlorosulfonated Polyethylene";"";"zinc chloride";"saturated";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Epoxy Cements";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"50";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"19";"Epoxy Cements";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"50";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"20";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended; over 3 years";">10";"50 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Epoxy Resin, Glass Fiber- Reinforced";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";">10";"70 – 225";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"22";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"100";"70 – 212";"<1";"260°C (500°F)";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"23";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended; strength loss, ";"20";"175 – 212";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"24";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"100";"70 – 150";"";"immersed, cyclic immersion";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"25";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"100";"200 – 500";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"26";"Fluororubber";"";"zinc chloride";"saturated";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";">10";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Glass, Chemical";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Glassed Steel";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended; questionable ";">10";"50 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Nylon";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Perfluoroalkoxy Resins";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended; strength loss; steady state reached in one week exposure";"20";"32 – 212";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"33";"Phenolic Resins, Asbestos-Reinforced";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"34";"Phenolic Resins, Asbestos-Reinforced";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"35";"Polychloroprene";"";"zinc chloride";"saturated";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"36";"Polyesters, Glass Fiber-Reinforced";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";">10";"75 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"37";"Polyesters, Glass Fiber-Reinforced";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"3";"not recommended";">10";"225 – 235";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Polyethylene (PE)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";">10";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"39";"Polyethylene (PE)";"";"zinc chloride";"saturated";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"40";"Polymethyl Methacrylate (PMMA)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"80";"0 – 176";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";""
"42";"Polyphenylene Sulfide (40% Glass-Filled)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"100";"0 – 200";"";"";"11";"";"";"";"";"";"";"";"";"";"";""
"43";"Polypropylene (PP)";"";"zinc chloride";"saturated";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";">10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"44";"Polyvinyl Chloride (PVC)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"45";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"100";"150";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"46";"Polyvinylidene Fluoride (PVDF)";"Kynar";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"47";"Rubber, Butyl (BR)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"48";"Rubber, Natural (NR)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"49";"Rubber, Natural (NR)";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"3";"not recommended";">10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"50";"Vinyl Ester Resins";"";"zinc chloride";"";"7646-85-7";"Cl2Zn";"salts";"1";"recommended";">10";"80 – 250";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
