sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium hydroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"potassium hydroxide";"1310-58-3";"HKO";"bases";"";"10";"221";"<2";"79,191,212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"potassium hydroxide";"1310-58-3";"HKO";"bases";"";"20";"68";"<2";"79,191,212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"potassium hydroxide";"1310-58-3";"HKO";"bases";"";"25";"244";"<2";"79,191,212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-4Mo (904L)";"potassium hydroxide";"1310-58-3";"HKO";"bases";"";"45 – 55";"285 – 325";">50";"79,191,212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-4Mo (904L)";"potassium hydroxide";"1310-58-3";"HKO";"bases";"";"50";"68";"<2";"79,191,212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-25-4Mo (904L)";"potassium hydroxide";"1310-58-3";"HKO";"bases";"";"50";"284";"20 – 50";"79,191,212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-25-4Mo (904L)";"potassium hydroxide";"1310-58-3";"HKO";"bases";"";"70";"248";"20 – 50";"79,191,212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 20-25-4Mo (904L)";"potassium hydroxide";"1310-58-3";"HKO";"bases";"";"100";"572";">50";"79,191,212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 20-25-6Mo (254SMO/ 6XN)";"potassium hydroxide";"1310-58-3";"HKO";"bases";"";"10";"221";"<2";"79,191,212";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 20-25-6Mo (254SMO/ 6XN)";"potassium hydroxide";"1310-58-3";"HKO";"bases";"";"20";"68";"<2";"79,191,212";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 20-25-6Mo (254SMO/ 6XN)";"potassium hydroxide";"1310-58-3";"HKO";"bases";"";"25";"244";"<2";"79,191,212";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Alloy 20-25-6Mo (254SMO/ 6XN)";"potassium hydroxide";"1310-58-3";"HKO";"bases";"";"50";"68";"<2";"79,191,212";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium hydroxide";"1310-58-3";"HKO";"bases";"stress corrosion cracking";"5 – 65";"25 – 225";"<2";"79,191,212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium hydroxide";"1310-58-3";"HKO";"bases";"";"25";"244";"<2";"79,191,212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium hydroxide";"1310-58-3";"HKO";"bases";"";"45 – 55";"275 – 325";">50";"79,191,212,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
