sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"10";"50 – 150";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"2";"questionable";"10";"150 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"10";"200 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"2";"questionable";">20";"50 – 140";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";">20";"140 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"1";"recommended";">10";"50 – 120";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"2";"questionable";">10";"120 – 140";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"3";"not recommended";">10";"140 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"acrylonitrile";"propenenitrile";"";"107-13-1";"C3H3N";"nitriles";"1";"recommended; over 3 years";">10";"50 – 120";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended; over 3 years";">10";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"aluminum nitrate";"";"";"";"";"salts";"1";"recommended; over 3 years";">10";"80 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"1";"recommended";">10";"80 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"ammonium carbonate";"";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended; >3 years";"10 – 50";"80 – 175";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";">10";"80 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"2";"questionable";"10";"195 – 220";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"1";"recommended";"10 – 20";"150 – 195";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"1";"recommended; over 3 years";"10 – 30";"50 – 150";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"ammonium nitrate";"";"";"6484-52-2";"H4N2O3";"salts";"1";"recommended";">10";"50 – 195";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"ammonium nitrate";"";"";"6484-52-2";"H4N2O3";"salts";"2";"questionable";">10";"195 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"ammonium phosphate";"";"";"";"";"salts";"1";"recommended; over 3 years";">10";"80 – 200";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"ammonium sulfate";"";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended; questionable >130°C (266°F) all concentrations";">10";"50 – 275";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"aniline";"benzenamine";"";"62-53-3";"C6H7N";"amines";"3";"not recommended; over 3 years";">10";"77 – 300";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"barium acetate";"";"";"543-80-6";"C4H6BaO4";"salts";"1";"recommended";">10";"80 – 175";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"barium carbonate";"";"";"513-77-9";"CBaO3";"salts";"1";"recommended";">10";"80 – 250";">12";"slurry";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"barium chloride";"";"";"10361-37-2";"BaCl2";"salts";"1";"recommended; over 3 years";">10";"80 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"barium sulfate";"";"";"7727-43-7";"BaO4S";"salts";"1";"recommended";">10";"80 – 250";">12";"slurry";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended; over 3 years";">10";"50 – 150";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"3";"not recommended";">10";"150 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended; over 3 years";">10";"75 – 212";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"black liquor";"";"paper industry";"";"";"pulping liquors";"1";"recommended; over 3 years";">10";"50 – 200";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"black liquor";"";"paper industry";"";"";"pulping liquors";"2";"questionable";">10";"200 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"boric acid";"";"";"";"";"inorganic acids";"1";"recommended; >3 years";">10";"75 – 212";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"33";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"butyric acid";"butanoic acid";"";"107-92-6";"C4H8O2";"organic (weak) acids";"1";"recommended";">10";"75 – 200";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"34";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"calcium carbonate";"";"";"";"";"salts";"1";"recommended; over 3 years";">10";"75 – 275";">12";"slurry";"1";"";"";"";"";"";"";"";"";"";"";""
"35";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"calcium chloride";"hydrophilite";"";"10043-52-4";"CaCl2";"salts";"1";"recommended; over 3 years";">10";"75 – 275";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"36";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"calcium hydroxide";"";"";"1305-62-0";"CaH2O2";"hydroxides";"1";"recommended; over 3 years";">10";"75 – 200";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"37";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"calcium hypochlorite";"";"";"";"";"salts";"3";"not recommended; over 3 years";"any";"0 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"calcium nitrate";"";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended; over 3 years";">10";"75 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"39";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"calcium sulfate";"";"";"7778-18-9";"CaO4S";"salts";"1";"recommended; over 3 years";">10";"75 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"40";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"carbon dioxide";"carbonic anhydride";"";"124-38-9";"CO2";"gases";"1";"recommended; over 3 years";">10";"50 – 175";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"carbon tetrachloride";"tetrachloromethane";"";"56-23-5";"CCl4";"solvents";"1";"recommended; over 3 years";">10";"50 – 150";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"42";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"chlorine";"";"";"7782-50-5";"Cl2";"";"3";"not recommended; over 3 years";"any";"0 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"43";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"chlorine dioxide";"";"saturated";"10049-04-4";"ClO2";"oxidizing agents";"1";"recommended";"10 – 20";"50 – 140";">12";"may contain droplets of sulfuric acid";"1";"";"";"";"";"";"";"";"";"";"";""
"44";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"chlorine dioxide";"";"gas";"10049-04-4";"ClO2";"oxidizing agents";"1";"recommended";"20";"50 – 90";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"45";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"chlorine dioxide";"";"gas";"10049-04-4";"ClO2";"oxidizing agents";"1";"recommended";"20";"90 – 140";"";"in air only, 10-60°C (50-140°F)";"1";"";"";"";"";"";"";"";"";"";"";""
"46";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"chlorine dioxide";"";"gas";"10049-04-4";"ClO2";"oxidizing agents";"3";"not recommended";">30";"0 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"47";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"chloroacetic acid";"";"";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"2";"questionable";"10";"100 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"48";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"chloroacetic acid";"";"";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"1";"recommended; over 3 years";"10 – 20";"50 – 100";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"49";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"chloroacetic acid";"";"";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"2";"questionable";">30";"50 – 75";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"50";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"chlorobenzene";"phenyl chloride";"";"108-90-7";"C6H5Cl";"halogenated aromatics";"1";"recommended; over 3 years";">10";"75 – 100";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
