sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phenylacetic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Copper/ Bronze/ Low Brass";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"169 – 325";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Copper-Nickel";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"85 – 95";"25 – 169";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Copper-Nickel";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"severe corrosion with oxygen ingress";">85";"169 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Copper-Nickel";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"169 – 325";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Gold/ Platinum";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"85 – 95";"25 – 169";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Gold/ Platinum";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";">85";"169 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Gold/ Platinum";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"100";"169 – 475";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Lead";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"85 – 95";"25 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Lead";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"85 – 95";"225 – 325";"20 – 50";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"85 – 95";"25 – 169";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";">85";"169 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"100";"169 – 475";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"85 – 95";"25 – 169";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";">85";"169 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"100";"169 – 475";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"85 – 95";"25 – 169";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";">85";"169 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"100";"169 – 475";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"85 – 95";"25 – 169";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";">85";"169 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"100";"169 – 475";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"85 – 95";"25 – 169";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";">85";"169 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"100";"169 – 475";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Nickel (200)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"85 – 95";"25 – 169";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Nickel (200)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"severe corrosion with oxygen ingress";">85";"169 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Nickel (200)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"169 – 475";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Nickel-Copper (400)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"85 – 95";"25 – 169";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Nickel-Copper (400)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"severe corrosion with oxygen ingress";">85";"169 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
