sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aluminum ammonium sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"aluminum ammonium sulfate";"ammonium alum";"7784-25-0";"AlH4NO8S2";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"aluminum ammonium sulfate";"ammonium alum";"7784-25-0";"AlH4NO8S2";"salts";"2";"questionable";">20";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"aluminum ammonium sulfate";"ammonium alum";"7784-25-0";"AlH4NO8S2";"salts";"3";"not recommended";">20";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"aluminum ammonium sulfate";"ammonium alum";"7784-25-0";"AlH4NO8S2";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Carbon-Graphite Composites";"";"aluminum ammonium sulfate";"ammonium alum";"7784-25-0";"AlH4NO8S2";"salts";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"aluminum ammonium sulfate";"ammonium alum";"7784-25-0";"AlH4NO8S2";"salts";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyethylene (PE)";"";"aluminum ammonium sulfate";"ammonium alum";"7784-25-0";"AlH4NO8S2";"salts";"1";"recommended";">10";"125 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"";"aluminum ammonium sulfate";"ammonium alum";"7784-25-0";"AlH4NO8S2";"salts";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"9";"Polymethyl Methacrylate (PMMA)";"";"aluminum ammonium sulfate";"ammonium alum";"7784-25-0";"AlH4NO8S2";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Polypropylene (PP)";"";"aluminum ammonium sulfate";"ammonium alum";"7784-25-0";"AlH4NO8S2";"salts";"1";"recommended";"100";"60 – 212";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyvinyl Chloride (PVC)";"";"aluminum ammonium sulfate";"ammonium alum";"7784-25-0";"AlH4NO8S2";"salts";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyvinylidene Fluoride (PVDF)";"Kynar";"aluminum ammonium sulfate";"ammonium alum";"7784-25-0";"AlH4NO8S2";"salts";"1";"recommended";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
