sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"1 – 50";"25 – 257";"<2";"89,197,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"1 – 50";"212 – 257";"<2";"89,197";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"1 – 50";"25 – 257";"<2";"89,197,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"1 – 50";"25 – 257";"<2";"89,197,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 15";"175 – 225";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 15";"275 – 325";">50";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"25 – 75";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"pitting";"5 – 50";"25 – 225";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"225 – 275";"<20";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"25 – 225";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"225 – 275";"<20";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Brass (>15Zn)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 45";"25 – 75";"<20";"89,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cast Iron, Gray/ Ductile";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"25 – 125";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cast Iron, Gray/ Ductile";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"125 – 175";"<20";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cast Iron, Gray/ Ductile";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"175 – 225";"20 – 50";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper/ Bronze/ Low Brass";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 45";"25 – 75";"<20";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Copper/ Bronze/ Low Brass";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"25 – 35";"175 – 225";"20 – 50";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Copper/ Bronze/ Low Brass";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"45 – 50";"175 – 225";"20 – 50";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Copper-Nickel";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"25 – 225";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Cr Stainless Steel (12Cr)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"25 – 225";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cr Stainless Steel (17Cr)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"25 – 225";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Duplex Stainless Steel (25-6-3)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"1 – 50";"212 – 257";"<2";"89,197";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Gold/ Platinum";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"25 – 225";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Lead";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 15";"25 – 75";"20 – 50";"89,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Lead";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 15";"75 – 125";">50";"89,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 35";"25 – 75";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 35";"25 – 75";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 35";"25 – 75";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 35";"25 – 75";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 35";"25 – 75";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Nickel (200)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"25 – 225";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel Cast Iron (15-35Ni)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"25 – 225";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Silicon Cast Iron (14Si)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"52 – 237";"<2";"89,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Silver";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"25 – 225";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Steels, Carbon/ Low Alloy";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"25 – 125";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Steels, Carbon/ Low Alloy";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"125 – 175";"<20";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Steels, Carbon/ Low Alloy";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"175 – 225";"20 – 50";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Superferritic Stainless Steel (26-1)";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"25 – 225";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Tantalum";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"5 – 50";"25 – 225";"<2";"89,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Titanium, Unalloyed";"sodium nitrate";"chile saltpeter";"7631-99-4";"NNaO3";"salts";"";"1 – 50";"25 – 257";"<2";"89,197,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
