sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Stearic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"stearic acid";"octadecanoic acid";"1957-11-04";"C18H36O2";"organic (weak) acids";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"stearic acid";"octadecanoic acid";"1957-11-04";"C18H36O2";"organic (weak) acids";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Carbon-Graphite Composites";"";"stearic acid";"octadecanoic acid";"1957-11-04";"C18H36O2";"organic (weak) acids";"1";"recommended";"100";"676 – 721";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"";"stearic acid";"octadecanoic acid";"1957-11-04";"C18H36O2";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"stearic acid";"octadecanoic acid";"1957-11-04";"C18H36O2";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"stearic acid";"octadecanoic acid";"1957-11-04";"C18H36O2";"organic (weak) acids";"1";"recommended";"100";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"stearic acid";"octadecanoic acid";"1957-11-04";"C18H36O2";"organic (weak) acids";"1";"recommended";"100";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorinated Polyvinyl Chloride (CPVC)";"";"stearic acid";"octadecanoic acid";"1957-11-04";"C18H36O2";"organic (weak) acids";"1";"recommended";"100";"70 – 212";"";"";"1, 12";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorosulfonated Polyethylene";"";"stearic acid";"octadecanoic acid";"1957-11-04";"C18H36O2";"organic (weak) acids";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Concrete";"";"stearic acid";"octadecanoic acid";"1957-11-04";"C18H36O2";"organic (weak) acids";"2";"questionable";"10 – 90";"60 – 70";"";"no fatty acids";"1";"";"";"";"";"";"";"";"";"";"";""
