sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium acetate";"631-61-8";"C2H7NO2";"salts";"";"5 – 55";"25 – 175";"<2";"8,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"ammonium acetate";"631-61-8";"C2H7NO2";"salts";"";"5 – 55";"25 – 175";"<2";"8,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"ammonium acetate";"631-61-8";"C2H7NO2";"salts";"";"20";"0 – 212";"<2";"8,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium acetate";"631-61-8";"C2H7NO2";"salts";"";"5 – 15";"25 – 225";"<2";"8,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium acetate";"631-61-8";"C2H7NO2";"salts";"";"5 – 15";"25 – 225";"<2";"8,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium acetate";"631-61-8";"C2H7NO2";"salts";"";"15 – 55";"25 – 175";"<2";"8,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"ammonium acetate";"631-61-8";"C2H7NO2";"salts";"severe corrosion with oxygen ingress";"";"0";"<2";"8,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"ammonium acetate";"631-61-8";"C2H7NO2";"salts";"";"5 – 55";"25 – 125";"<20";"8,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"ammonium acetate";"631-61-8";"C2H7NO2";"salts";"severe corrosion with oxygen ingress";"";"0";"<2";"8,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"ammonium acetate";"631-61-8";"C2H7NO2";"salts";"severe corrosion with oxygen ingress";"";"0";"<2";"8,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
