sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Pentachloroethane";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"hazardous!";"";"100";"25 – 75";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"possible hazard";"";"100";"75 – 225";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"pitting; stress corrosion cracking";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"pitting; stress corrosion cracking";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper-Nickel";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (12Cr)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (17Cr)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Gold/ Platinum";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Lead";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel (200)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel Cast Iron (15-35Ni)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel-Copper (400)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Ni-Cr-Fe Alloy (600/ 690)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Ni-Mo Alloy (Ni-30Mo; B-2)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Silicon Cast Iron (14Si)";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"52 – 237";"<20";"210,218";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Silver";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Steels, Carbon/ Low Alloy";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Tantalum";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Titanium, Unalloyed";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Zirconium";"pentachloroethane";"refrigerant 120";"1976-01-07";"C2HCl5";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
