sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Benzaldehyde";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"23";"Phenolic Resins, Asbestos-Reinforced";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Polychloroprene";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended; swollen >12 months";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Polychloroprene";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended; swollen ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Polyesters, Glass Fiber-Reinforced";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Polyethylene (PE)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"2";"questionable; may stress crack; weight gain";"0.1";"60 – 70";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Polyethylene (PE)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyethylene (PE)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyethylene (PE)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Polymethyl Methacrylate (PMMA)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended; may dissolve ";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"1";"recommended";"100";"0 – 140";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";""
"33";"Polyphenylene Sulfide (40% Glass-Filled)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended";"100";"140 – 200";"";"";"11";"";"";"";"";"";"";"";"";"";"";""
"34";"Polyphenylene Sulfide, Glass Fiber-Reinforced";"Ryton PPS R-4";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended";"100";"200";"<12";"";"18";"";"";"";"";"";"";"";"";"";"";""
"35";"Polypropylene (PP)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"1";"recommended";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"36";"Polypropylene (PP)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"1";"recommended; weight gain ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
