sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Benzylamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Brass (>15Zn)";"benzylamine";"100-46-9";"C7H9N";"amines";"severe corrosion with oxygen ingress";"100";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cast Iron, Gray/ Ductile";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper/ Bronze/ Low Brass";"benzylamine";"100-46-9";"C7H9N";"amines";"severe corrosion with oxygen ingress";"100";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper-Nickel";"benzylamine";"100-46-9";"C7H9N";"amines";"severe corrosion with oxygen ingress";"100";"25 – 75";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (12Cr)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cr Stainless Steel (17Cr)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Gold/ Platinum";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"25 – 125";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"125 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"25 – 125";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"125 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"25 – 125";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"125 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"25 – 125";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"125 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"25 – 125";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"125 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel (200)";"benzylamine";"100-46-9";"C7H9N";"amines";"severe corrosion with oxygen ingress";"100";"25 – 225";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel Cast Iron (15-35Ni)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Nickel-Copper (400)";"benzylamine";"100-46-9";"C7H9N";"amines";"severe corrosion with oxygen ingress";"100";"25 – 225";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Ni-Cr-Fe Alloy (600/ 690)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"25 – 125";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Ni-Cr-Fe Alloy (600/ 690)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"125 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Ni-Mo Alloy (Ni-30Mo; B-2)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Silicon Cast Iron (14Si)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"52 – 237";"<20";"217,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Steels, Carbon/ Low Alloy";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Superferritic Stainless Steel (26-1)";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"25 – 75";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Tantalum";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Titanium, Unalloyed";"benzylamine";"100-46-9";"C7H9N";"amines";"";"100";"25 – 75";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
