sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium nitrite";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"45 – 50";"175 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 45";"25 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"45 – 50";"175 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 45";"25 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"45 – 50";"175 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 45";"25 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"45 – 50";"175 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel (200)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 45";"25 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel (200)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"45 – 50";"175 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel Cast Iron (15-35Ni)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 45";"25 – 175";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Nickel-Copper (400)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 45";"25 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Nickel-Copper (400)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"45 – 50";"175 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Ni-Cr-Fe Alloy (600/ 690)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 45";"25 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Ni-Cr-Fe Alloy (600/ 690)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"45 – 50";"175 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Ni-Mo Alloy (Ni-30Mo; B-2)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 45";"25 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Ni-Mo Alloy (Ni-30Mo; B-2)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"45 – 50";"175 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Silicon Cast Iron (14Si)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 45";"52 – 190";"<2";">7 pH";"90,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Silicon Cast Iron (14Si)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 45";"190 – 237";"<20";"";"90,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Steels, Carbon/ Low Alloy";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 45";"25 – 175";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Superferritic Stainless Steel (26-1)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 50";"25 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Tantalum";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 50";"25 – 75";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Titanium, Unalloyed";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"1 – 50";"212 – 266";"<2";"";"90,197";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Zirconium";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 45";"25 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Zirconium";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"45 – 50";"175 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
