sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Diethyl ketone";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"diethyl ketone";"3-pentanone";"";"96-22-0";"C5H10O";"ketones";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";""
"2";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"diethyl ketone";"3-pentanone";"";"96-22-0";"C5H10O";"ketones";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"diethyl ketone";"3-pentanone";"";"96-22-0";"C5H10O";"ketones";"1";"recommended";"100";"70 – 212";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Phenolic Resins, Asbestos-Reinforced";"";"diethyl ketone";"3-pentanone";"";"96-22-0";"C5H10O";"ketones";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Phenolic Resins, Asbestos-Reinforced";"";"diethyl ketone";"3-pentanone";"";"96-22-0";"C5H10O";"ketones";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Phenolic Resins, Non-asbestos";"Haveg 41-NA";"diethyl ketone";"3-pentanone";"liquid";"96-22-0";"C5H10O";"ketones";"3";"not recommended; significant weight/volume change";"100";"212";"";"90 days";"3";"";"";"";"";"";"";"";"";"";""
"7";"Polyesters, Glass Fiber-Reinforced";"";"diethyl ketone";"3-pentanone";"";"96-22-0";"C5H10O";"ketones";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"8";"Styrene Acrylonitrile Copolymer (SAN)";"";"diethyl ketone";"3-pentanone";"";"96-22-0";"C5H10O";"ketones";"3";"not recommended; may dissolve";"any";"0 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
"9";"Vinyl Ester Resins";"";"diethyl ketone";"3-pentanone";"";"96-22-0";"C5H10O";"ketones";"1";"recommended";"100";"70 – 80";"";"";"7";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
