sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Boric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"boric acid";"inorganic acids";"5 – 10";"25 – 325";"<2";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"boric acid";"inorganic acids";"5 – 10";"25 – 325";"<2";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Nickel (200)";"boric acid";"inorganic acids";"5 – 10";"25 – 75";"<2";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel (200)";"boric acid";"inorganic acids";"5 – 10";"75 – 225";"<20";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel Cast Iron (15-35Ni)";"boric acid";"inorganic acids";"5 – 10";"25 – 75";"<2";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel-Copper (400)";"boric acid";"inorganic acids";"5 – 10";"25 – 75";"<2";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel-Copper (400)";"boric acid";"inorganic acids";"5 – 10";"75 – 225";"<20";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Ni-Cr-Fe Alloy (600/ 690)";"boric acid";"inorganic acids";"5 – 10";"25 – 225";"<2";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Ni-Mo Alloy (Ni-30Mo; B-2)";"boric acid";"inorganic acids";"5 – 10";"25 – 325";"<2";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Niobium (Columbium)";"boric acid";"inorganic acids";"5";"0 – 212";"<2";"21,132,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Silicon Cast Iron (14Si)";"boric acid";"inorganic acids";"5 – 10";"52 – 439";"<20";"21,132,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Silver";"boric acid";"inorganic acids";"5 – 10";"25 – 325";"<2";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Steels, Carbon/ Low Alloy";"boric acid";"inorganic acids";"5 – 10";"25 – 475";"20 – 50";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Superferritic Stainless Steel (26-1)";"boric acid";"inorganic acids";"5 – 10";"25 – 225";"<2";"21,132,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Tantalum";"boric acid";"inorganic acids";"5 – 10";"25 – 325";"<2";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Titanium, Unalloyed";"boric acid";"inorganic acids";"5 – 10";"25 – 325";"<2";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Zirconium";"boric acid";"inorganic acids";"5 – 10";"25 – 325";"<2";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
