sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Barium chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"27";"Polypropylene (PP)";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Polyvinyl Chloride (PVC)";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"100";"175";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"30";"Polyvinylidene Fluoride (PVDF)";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"100";"70 – 275";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Styrene Acrylonitrile Copolymer (SAN)";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Vinyl Ester Resins";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";">10";"50 – 210";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"33";"Wood";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"10 – 60";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
