sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Lactic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Concrete";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";">10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Epoxy Cements";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"2";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Epoxy Cements";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"2";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Epoxy Cements";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"5";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Epoxy Cements";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"5";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Epoxy Cements";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"3";"not recommended";"10";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Epoxy Cements";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"3";"not recommended";"10";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Epoxy Cements";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"3";"not recommended";"20";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Epoxy Cements";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"3";"not recommended";"20";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Epoxy Cements";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"3";"not recommended";"90";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Epoxy Cements";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"3";"not recommended";"90";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Epoxy Resin, Glass Fiber- Reinforced";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"50";"70 – 225";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Epoxy Resin, Glass Fiber- Reinforced";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"100";"70 – 200";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Fluororubber";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"<10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Fluororubber";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"100";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Glass, Chemical";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nylon";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"2";"questionable";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Phenolic Resins, Asbestos-Reinforced";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"80";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Phenolic Resins, Asbestos-Reinforced";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"3";"not recommended";"80";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Phenolic Resins, Asbestos-Reinforced";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Polychloroprene";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"<10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Polychloroprene";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Polyesters, Glass Fiber-Reinforced";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";">10";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Polyethylene (PE)";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"10 – 20";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Polyethylene (PE)";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"80 – 90";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Polymethyl Methacrylate (PMMA)";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Polymethyl Methacrylate (PMMA)";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Polypropylene (PP)";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"20";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Polypropylene (PP)";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"80";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Polypropylene (PP)";"";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
