sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"24";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"adipic acid";"";"";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"allyl alcohol";"2-propen-1-ol";"";"107-18-6";"C3H6O";"alcohols";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"allyl chloride";"3-chloropropene";"";"107-05-1";"C3H5Cl";"halogenated aliphatics";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"aluminum ammonium sulfate";"ammonium alum";"";"7784-25-0";"AlH4NO8S2";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"aluminum fluoride";"aluminum trifluoride";"";"7784-18-1";"AlF3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"aluminum hydroxide";"bayerite";"";"21645-51-2";"AlH3O3";"hydroxides";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"aluminum nitrate";"";"";"";"";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"aluminum potassium sulfate";"potassium aluminum sulfate";"";"10043-67-1";"AlKO8S2";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"33";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"aluminum potassium sulfate";"potassium aluminum sulfate";"";"10043-67-1";"AlKO8S2";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"34";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"aluminum potassium sulfate";"potassium aluminum sulfate";"saturated";"10043-67-1";"AlKO8S2";"salts";"1";"recommended";"100";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"35";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"36";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"ammonia";"";"";"7664-41-7";"H3N";"bases";"3";"not recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"37";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"ammonia";"";"liquid, pressurized";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"70 – 135";"";"liquid, ~ 127 psi";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"ammonia";"";"";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"135 – 150";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"39";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"ammonium acetate";"";"";"631-61-8";"C2H7NO2";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"40";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"ammonium carbonate";"";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";"10 – 70";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"42";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";"70";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"43";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"ammonium chloride";"sal ammoniac";"saturated";"12125-02-9";"ClH4N";"salts";"1";"recommended";"70";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"44";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"45";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"ammonium fluoride";"";"";"12125-01-8";"FH4N";"salts";"2";"questionable";"20";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"46";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"ammonium fluoride";"";"";"12125-01-8";"FH4N";"salts";"3";"not recommended";"20";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"47";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"ammonium fluoride";"";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"48";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"1";"recommended; weight gain >12 months";"30";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"49";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"2";"questionable";"30";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"50";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"ammonium nitrate";"";"";"6484-52-2";"H4N2O3";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
