sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium hydroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"25";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"sodium hydroxide";"caustic soda";"vapor";"1310-73-2";"HNaO";"bases";"1";"recommended";"10";"135";"";"";"16";"";"";"";"";"";"";"";"";"";""
"26";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"3";"not recommended";"12";"115";"";"";"16";"";"";"";"";"";"";"";"";"";""
"27";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"2";"140";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"28";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"3";"not recommended";"10";"115";"";"";"16";"";"";"";"";"";"";"";"";"";""
"29";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"sodium hydroxide";"caustic soda";"vapor & condensate";"1310-73-2";"HNaO";"bases";"1";"recommended";"10";"180";"";"";"16";"";"";"";"";"";"";"";"";"";""
"30";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"3";"not recommended";"50";"75";"";"";"16";"";"";"";"";"";"";"";"";"";""
"31";"Chlorinated Polyvinyl Chloride (CPVC)";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"32";"Chlorosulfonated Polyethylene";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"10 – 60";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"33";"Chlorosulfonated Polyethylene";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"50";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"34";"Chlorosulfonated Polyethylene";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"35";"Concrete";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"10 – 90";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"36";"Epoxy Cements";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"10";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";""
"37";"Epoxy Cements";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"10";"140";"";"";"5";"";"";"";"";"";"";"";"";"";""
"38";"Epoxy Cements";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"25";"68";"";"";"5";"";"";"";"";"";"";"";"";"";""
"39";"Epoxy Cements";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"25";"140";"";"";"5";"";"";"";"";"";"";"";"";"";""
"40";"Epoxy Cements";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"50";"68";"";"";"5";"";"";"";"";"";"";"";"";"";""
"41";"Epoxy Cements";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"50";"140";"";"";"5";"";"";"";"";"";"";"";"";"";""
"42";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended; over 3 years";"10 – 50";"50 – 175";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"43";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"2";"questionable";"10 – 50";"175 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";""
"44";"Epoxy Resin, Glass Fiber- Reinforced";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"<1";"70 – 90";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"45";"Epoxy Resin, Glass Fiber- Reinforced";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"10 – 50";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"46";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended; ";"<50";"32 – 250";"";"";"1, 9, 10";"";"";"";"";"";"";"";"";"";""
"47";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"any";"250 – 400";"[>12]";"";"1, 9, 10";"";"";"";"";"";"";"";"";"";""
"48";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended; weight gain, strength loss";"100";"32 – 250";"[";"";"1, 9, 10";"";"";"";"";"";"";"";"";"";""
"49";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"1";"recommended";"50";"70 – 150";"";"cyclic immersion; immersed";"1, 22";"";"";"";"";"";"";"";"";"";""
"50";"Fluororubber";"";"sodium hydroxide";"caustic soda";"";"1310-73-2";"HNaO";"bases";"3";"not recommended; weight gain";"10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
