sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"85 – 95";"125 – 175";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"hazardous!";"";"85 – 95";"25 – 75";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"hazardous!";"";"85 – 95";"175 – 225";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"stress corrosion cracking";"85 – 95";"125 – 175";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"stress corrosion cracking";"85 – 95";"125 – 175";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"100";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Brass (>15Zn)";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"";"";"5 – 15";"25 – 75";">50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
