sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Zinc sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"15 – 25";"25 – 75";"<2";"206,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"20";"221";"<2";"206,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"35 – 40";"25 – 225";"<2";"206,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-4Mo (904L)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"40";"230";"<2";"206,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-6Mo (254SMO/ 6XN)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"20";"221";"<2";"206,215";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-25-6Mo (254SMO/ 6XN)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"40";"230";"<2";"206,215";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"pitting";"5 – 40";"25 – 75";"<2";"206,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"5 – 40";"175 – 225";"<2";"206,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"35 – 40";"25 – 225";"<2";"206,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"40";"230";"<2";"206,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 30-44-5-3W (G-30)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"pitting";"5 – 40";"25 – 75";"<2";"206,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Alloy 30-44-5-3W (G-30)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"5 – 40";"175 – 225";"<2";"206,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Alloy 30-44-5-3W (G-30)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"35 – 40";"25 – 225";"<2";"206,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Alloy 30-44-5-3W (G-30)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"40";"230";"<2";"206,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Aluminum Alloy (3003/ 5154)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"<10";"0 – 104";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Aluminum Alloy (3003/ 5154)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"10 – 25";"25 – 75";"<20";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Aluminum Alloy (3003/ 5154)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"25 – 40";"25 – 75";"20 – 50";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"pitting";"5 – 25";"25 – 75";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"5 – 40";"75 – 225";"<20";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"25 – 40";"25 – 75";"<20";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"pitting";"5 – 40";"25 – 225";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Brass (>15Zn)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"5 – 40";"25 – 75";"20 – 50";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Brass (>15Zn)";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"5 – 40";"75 – 125";">50";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Cast Iron, Gray/ Ductile";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"5 – 35";"25 – 75";">50";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Copper/ Bronze/ Low Brass";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"5 – 40";"25 – 225";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Copper/ Bronze/ Low Brass";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"15 – 25";"225 – 425";"<20";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Copper/ Bronze/ Low Brass";"zinc sulfate";"7733-02-0";"O4SZn";"salts";"";"100";"25 – 75";"<2";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
