sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium picrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 125";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"severe corrosion with oxygen ingress";"5";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"severe corrosion with oxygen ingress";"5";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"severe corrosion with oxygen ingress";"5";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 175";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Gold/ Platinum";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Lead";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel (200)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"severe corrosion with oxygen ingress";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel-Copper (400)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"severe corrosion with oxygen ingress";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Ni-Cr-Fe Alloy (600/ 690)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Silicon Cast Iron (14Si)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"52 – 237";"<20";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Silver";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Steels, Carbon/ Low Alloy";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Superferritic Stainless Steel (26-1)";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Tantalum";"ammonium picrate";"ammonium carbazoate";"131-74-8";"C6H6N4O7";"organic acid salts";"";"5";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
