sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Rubber, Natural (NR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Rubber, Natural (NR)";"acetaldehyde";"ethanal";"";"75-07-0";"C2H4O";"aldehydes";"3";"not recommended";"40";"100 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Rubber, Natural (NR)";"acetaldehyde";"ethanal";"";"75-07-0";"C2H4O";"aldehydes";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Rubber, Natural (NR)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended; crude, 95% also recommended";"10 – 60";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Rubber, Natural (NR)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"80";"100 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Rubber, Natural (NR)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"80 – 90";"100 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Rubber, Natural (NR)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"100";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Rubber, Natural (NR)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"100";"100 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Rubber, Natural (NR)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended; disintegrated";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Rubber, Natural (NR)";"acetic anhydride";"";"";"108-24-7";"C4H6O3";"anhydrides";"1";"recommended";"100";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Rubber, Natural (NR)";"acetic anhydride";"";"";"108-24-7";"C4H6O3";"anhydrides";"2";"questionable";"100";"100 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Rubber, Natural (NR)";"acetic anhydride";"";"";"108-24-7";"C4H6O3";"anhydrides";"3";"not recommended";"100";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Rubber, Natural (NR)";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"1";"recommended";"10";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Rubber, Natural (NR)";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Rubber, Natural (NR)";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"2";"questionable";"100";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Rubber, Natural (NR)";"acrylonitrile";"propenenitrile";"";"107-13-1";"C3H3N";"nitriles";"3";"not recommended";"100";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Rubber, Natural (NR)";"adipic acid";"";"saturated";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"10";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Rubber, Natural (NR)";"allyl alcohol";"2-propen-1-ol";"";"107-18-6";"C3H6O";"alcohols";"1";"recommended";"96";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Rubber, Natural (NR)";"allyl alcohol";"2-propen-1-ol";"";"107-18-6";"C3H6O";"alcohols";"3";"not recommended";"96";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Rubber, Natural (NR)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
